_Annual_J-D_2009_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.5921
   2   1 -177.00  -89.00        0.5921
   3   1 -175.00  -89.00        0.5921
   4   1 -173.00  -89.00        0.5921
   5   1 -171.00  -89.00        0.5921
   6   1 -169.00  -89.00        0.5921
   7   1 -167.00  -89.00        0.5921
   8   1 -165.00  -89.00        0.5921
   9   1 -163.00  -89.00        0.5921
  10   1 -161.00  -89.00        0.5921
  11   1 -159.00  -89.00        0.5921
  12   1 -157.00  -89.00        0.5921
  13   1 -155.00  -89.00        0.5921
  14   1 -153.00  -89.00        0.5921
  15   1 -151.00  -89.00        0.5921
  16   1 -149.00  -89.00        0.5921
  17   1 -147.00  -89.00        0.5921
  18   1 -145.00  -89.00        0.5921
  19   1 -143.00  -89.00        0.5921
  20   1 -141.00  -89.00        0.5921
  21   1 -139.00  -89.00        0.5921
  22   1 -137.00  -89.00        0.5921
  23   1 -135.00  -89.00        0.5921
  24   1 -133.00  -89.00        0.5921
  25   1 -131.00  -89.00        0.5921
  26   1 -129.00  -89.00        0.5921
  27   1 -127.00  -89.00        0.5921
  28   1 -125.00  -89.00        0.5921
  29   1 -123.00  -89.00        0.5921
  30   1 -121.00  -89.00        0.5921
  31   1 -119.00  -89.00        0.5921
  32   1 -117.00  -89.00        0.5921
  33   1 -115.00  -89.00        0.5921
  34   1 -113.00  -89.00        0.5921
  35   1 -111.00  -89.00        0.5921
  36   1 -109.00  -89.00        0.5921
  37   1 -107.00  -89.00        0.5921
  38   1 -105.00  -89.00        0.5921
  39   1 -103.00  -89.00        0.5921
  40   1 -101.00  -89.00        0.5921
  41   1  -99.00  -89.00        0.5921
  42   1  -97.00  -89.00        0.5921
  43   1  -95.00  -89.00        0.5921
  44   1  -93.00  -89.00        0.5921
  45   1  -91.00  -89.00        0.5921
  46   1  -89.00  -89.00        0.5921
  47   1  -87.00  -89.00        0.5921
  48   1  -85.00  -89.00        0.5921
  49   1  -83.00  -89.00        0.5921
  50   1  -81.00  -89.00        0.5921
  51   1  -79.00  -89.00        0.5921
  52   1  -77.00  -89.00        0.5921
  53   1  -75.00  -89.00        0.5921
  54   1  -73.00  -89.00        0.5921
  55   1  -71.00  -89.00        0.5921
  56   1  -69.00  -89.00        0.5921
  57   1  -67.00  -89.00        0.5921
  58   1  -65.00  -89.00        0.5921
  59   1  -63.00  -89.00        0.5921
  60   1  -61.00  -89.00        0.5921
  61   1  -59.00  -89.00        0.5921
  62   1  -57.00  -89.00        0.5921
  63   1  -55.00  -89.00        0.5921
  64   1  -53.00  -89.00        0.5921
  65   1  -51.00  -89.00        0.5921
  66   1  -49.00  -89.00        0.5921
  67   1  -47.00  -89.00        0.5921
  68   1  -45.00  -89.00        0.5921
  69   1  -43.00  -89.00        0.5921
  70   1  -41.00  -89.00        0.5921
  71   1  -39.00  -89.00        0.5921
  72   1  -37.00  -89.00        0.5921
  73   1  -35.00  -89.00        0.5921
  74   1  -33.00  -89.00        0.5921
  75   1  -31.00  -89.00        0.5921
  76   1  -29.00  -89.00        0.5921
  77   1  -27.00  -89.00        0.5921
  78   1  -25.00  -89.00        0.5921
  79   1  -23.00  -89.00        0.5921
  80   1  -21.00  -89.00        0.5921
  81   1  -19.00  -89.00        0.5921
  82   1  -17.00  -89.00        0.5921
  83   1  -15.00  -89.00        0.5921
  84   1  -13.00  -89.00        0.5921
  85   1  -11.00  -89.00        0.5921
  86   1   -9.00  -89.00        0.5921
  87   1   -7.00  -89.00        0.5921
  88   1   -5.00  -89.00        0.5921
  89   1   -3.00  -89.00        0.5921
  90   1   -1.00  -89.00        0.5921
  91   1    1.00  -89.00        0.5921
  92   1    3.00  -89.00        0.5921
  93   1    5.00  -89.00        0.5921
  94   1    7.00  -89.00        0.5921
  95   1    9.00  -89.00        0.5921
  96   1   11.00  -89.00        0.5921
  97   1   13.00  -89.00        0.5921
  98   1   15.00  -89.00        0.5921
  99   1   17.00  -89.00        0.5921
 100   1   19.00  -89.00        0.5921
 101   1   21.00  -89.00        0.5921
 102   1   23.00  -89.00        0.5921
 103   1   25.00  -89.00        0.5921
 104   1   27.00  -89.00        0.5921
 105   1   29.00  -89.00        0.5921
 106   1   31.00  -89.00        0.5921
 107   1   33.00  -89.00        0.5921
 108   1   35.00  -89.00        0.5921
 109   1   37.00  -89.00        0.5921
 110   1   39.00  -89.00        0.5921
 111   1   41.00  -89.00        0.5921
 112   1   43.00  -89.00        0.5921
 113   1   45.00  -89.00        0.5921
 114   1   47.00  -89.00        0.5921
 115   1   49.00  -89.00        0.5921
 116   1   51.00  -89.00        0.5921
 117   1   53.00  -89.00        0.5921
 118   1   55.00  -89.00        0.5921
 119   1   57.00  -89.00        0.5921
 120   1   59.00  -89.00        0.5921
 121   1   61.00  -89.00        0.5921
 122   1   63.00  -89.00        0.5921
 123   1   65.00  -89.00        0.5921
 124   1   67.00  -89.00        0.5921
 125   1   69.00  -89.00        0.5921
 126   1   71.00  -89.00        0.5921
 127   1   73.00  -89.00        0.5921
 128   1   75.00  -89.00        0.5921
 129   1   77.00  -89.00        0.5921
 130   1   79.00  -89.00        0.5921
 131   1   81.00  -89.00        0.5921
 132   1   83.00  -89.00        0.5921
 133   1   85.00  -89.00        0.5921
 134   1   87.00  -89.00        0.5921
 135   1   89.00  -89.00        0.5921
 136   1   91.00  -89.00        0.5921
 137   1   93.00  -89.00        0.5921
 138   1   95.00  -89.00        0.5921
 139   1   97.00  -89.00        0.5921
 140   1   99.00  -89.00        0.5921
 141   1  101.00  -89.00        0.5921
 142   1  103.00  -89.00        0.5921
 143   1  105.00  -89.00        0.5921
 144   1  107.00  -89.00        0.5921
 145   1  109.00  -89.00        0.5921
 146   1  111.00  -89.00        0.5921
 147   1  113.00  -89.00        0.5921
 148   1  115.00  -89.00        0.5921
 149   1  117.00  -89.00        0.5921
 150   1  119.00  -89.00        0.5921
 151   1  121.00  -89.00        0.5921
 152   1  123.00  -89.00        0.5921
 153   1  125.00  -89.00        0.5921
 154   1  127.00  -89.00        0.5921
 155   1  129.00  -89.00        0.5921
 156   1  131.00  -89.00        0.5921
 157   1  133.00  -89.00        0.5921
 158   1  135.00  -89.00        0.5921
 159   1  137.00  -89.00        0.5921
 160   1  139.00  -89.00        0.5921
 161   1  141.00  -89.00        0.5921
 162   1  143.00  -89.00        0.5921
 163   1  145.00  -89.00        0.5921
 164   1  147.00  -89.00        0.5921
 165   1  149.00  -89.00        0.5921
 166   1  151.00  -89.00        0.5921
 167   1  153.00  -89.00        0.5921
 168   1  155.00  -89.00        0.5921
 169   1  157.00  -89.00        0.5921
 170   1  159.00  -89.00        0.5921
 171   1  161.00  -89.00        0.5921
 172   1  163.00  -89.00        0.5921
 173   1  165.00  -89.00        0.5921
 174   1  167.00  -89.00        0.5921
 175   1  169.00  -89.00        0.5921
 176   1  171.00  -89.00        0.5921
 177   1  173.00  -89.00        0.5921
 178   1  175.00  -89.00        0.5921
 179   1  177.00  -89.00        0.5921
