_Annual_J-D_2000_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -0.2719
   2   1 -177.00  -89.00       -0.2719
   3   1 -175.00  -89.00       -0.2719
   4   1 -173.00  -89.00       -0.2719
   5   1 -171.00  -89.00       -0.2719
   6   1 -169.00  -89.00       -0.2719
   7   1 -167.00  -89.00       -0.2719
   8   1 -165.00  -89.00       -0.2719
   9   1 -163.00  -89.00       -0.2719
  10   1 -161.00  -89.00       -0.2719
  11   1 -159.00  -89.00       -0.2719
  12   1 -157.00  -89.00       -0.2719
  13   1 -155.00  -89.00       -0.2719
  14   1 -153.00  -89.00       -0.2719
  15   1 -151.00  -89.00       -0.2719
  16   1 -149.00  -89.00       -0.2719
  17   1 -147.00  -89.00       -0.2719
  18   1 -145.00  -89.00       -0.2719
  19   1 -143.00  -89.00       -0.2719
  20   1 -141.00  -89.00       -0.2719
  21   1 -139.00  -89.00       -0.2719
  22   1 -137.00  -89.00       -0.2719
  23   1 -135.00  -89.00       -0.2719
  24   1 -133.00  -89.00       -0.2719
  25   1 -131.00  -89.00       -0.2719
  26   1 -129.00  -89.00       -0.2719
  27   1 -127.00  -89.00       -0.2719
  28   1 -125.00  -89.00       -0.2719
  29   1 -123.00  -89.00       -0.2719
  30   1 -121.00  -89.00       -0.2719
  31   1 -119.00  -89.00       -0.2719
  32   1 -117.00  -89.00       -0.2719
  33   1 -115.00  -89.00       -0.2719
  34   1 -113.00  -89.00       -0.2719
  35   1 -111.00  -89.00       -0.2719
  36   1 -109.00  -89.00       -0.2719
  37   1 -107.00  -89.00       -0.2719
  38   1 -105.00  -89.00       -0.2719
  39   1 -103.00  -89.00       -0.2719
  40   1 -101.00  -89.00       -0.2719
  41   1  -99.00  -89.00       -0.2719
  42   1  -97.00  -89.00       -0.2719
  43   1  -95.00  -89.00       -0.2719
  44   1  -93.00  -89.00       -0.2719
  45   1  -91.00  -89.00       -0.2719
  46   1  -89.00  -89.00       -0.2719
  47   1  -87.00  -89.00       -0.2719
  48   1  -85.00  -89.00       -0.2719
  49   1  -83.00  -89.00       -0.2719
  50   1  -81.00  -89.00       -0.2719
  51   1  -79.00  -89.00       -0.2719
  52   1  -77.00  -89.00       -0.2719
  53   1  -75.00  -89.00       -0.2719
  54   1  -73.00  -89.00       -0.2719
  55   1  -71.00  -89.00       -0.2719
  56   1  -69.00  -89.00       -0.2719
  57   1  -67.00  -89.00       -0.2719
  58   1  -65.00  -89.00       -0.2719
  59   1  -63.00  -89.00       -0.2719
  60   1  -61.00  -89.00       -0.2719
  61   1  -59.00  -89.00       -0.2719
  62   1  -57.00  -89.00       -0.2719
  63   1  -55.00  -89.00       -0.2719
  64   1  -53.00  -89.00       -0.2719
  65   1  -51.00  -89.00       -0.2719
  66   1  -49.00  -89.00       -0.2719
  67   1  -47.00  -89.00       -0.2719
  68   1  -45.00  -89.00       -0.2719
  69   1  -43.00  -89.00       -0.2719
  70   1  -41.00  -89.00       -0.2719
  71   1  -39.00  -89.00       -0.2719
  72   1  -37.00  -89.00       -0.2719
  73   1  -35.00  -89.00       -0.2719
  74   1  -33.00  -89.00       -0.2719
  75   1  -31.00  -89.00       -0.2719
  76   1  -29.00  -89.00       -0.2719
  77   1  -27.00  -89.00       -0.2719
  78   1  -25.00  -89.00       -0.2719
  79   1  -23.00  -89.00       -0.2719
  80   1  -21.00  -89.00       -0.2719
  81   1  -19.00  -89.00       -0.2719
  82   1  -17.00  -89.00       -0.2719
  83   1  -15.00  -89.00       -0.2719
  84   1  -13.00  -89.00       -0.2719
  85   1  -11.00  -89.00       -0.2719
  86   1   -9.00  -89.00       -0.2719
  87   1   -7.00  -89.00       -0.2719
  88   1   -5.00  -89.00       -0.2719
  89   1   -3.00  -89.00       -0.2719
  90   1   -1.00  -89.00       -0.2719
  91   1    1.00  -89.00       -0.2719
  92   1    3.00  -89.00       -0.2719
  93   1    5.00  -89.00       -0.2719
  94   1    7.00  -89.00       -0.2719
  95   1    9.00  -89.00       -0.2719
  96   1   11.00  -89.00       -0.2719
  97   1   13.00  -89.00       -0.2719
  98   1   15.00  -89.00       -0.2719
  99   1   17.00  -89.00       -0.2719
 100   1   19.00  -89.00       -0.2719
 101   1   21.00  -89.00       -0.2719
 102   1   23.00  -89.00       -0.2719
 103   1   25.00  -89.00       -0.2719
 104   1   27.00  -89.00       -0.2719
 105   1   29.00  -89.00       -0.2719
 106   1   31.00  -89.00       -0.2719
 107   1   33.00  -89.00       -0.2719
 108   1   35.00  -89.00       -0.2719
 109   1   37.00  -89.00       -0.2719
 110   1   39.00  -89.00       -0.2719
 111   1   41.00  -89.00       -0.2719
 112   1   43.00  -89.00       -0.2719
 113   1   45.00  -89.00       -0.2719
 114   1   47.00  -89.00       -0.2719
 115   1   49.00  -89.00       -0.2719
 116   1   51.00  -89.00       -0.2719
 117   1   53.00  -89.00       -0.2719
 118   1   55.00  -89.00       -0.2719
 119   1   57.00  -89.00       -0.2719
 120   1   59.00  -89.00       -0.2719
 121   1   61.00  -89.00       -0.2719
 122   1   63.00  -89.00       -0.2719
 123   1   65.00  -89.00       -0.2719
 124   1   67.00  -89.00       -0.2719
 125   1   69.00  -89.00       -0.2719
 126   1   71.00  -89.00       -0.2719
 127   1   73.00  -89.00       -0.2719
 128   1   75.00  -89.00       -0.2719
 129   1   77.00  -89.00       -0.2719
 130   1   79.00  -89.00       -0.2719
 131   1   81.00  -89.00       -0.2719
 132   1   83.00  -89.00       -0.2719
 133   1   85.00  -89.00       -0.2719
 134   1   87.00  -89.00       -0.2719
 135   1   89.00  -89.00       -0.2719
 136   1   91.00  -89.00       -0.2719
 137   1   93.00  -89.00       -0.2719
 138   1   95.00  -89.00       -0.2719
 139   1   97.00  -89.00       -0.2719
 140   1   99.00  -89.00       -0.2719
 141   1  101.00  -89.00       -0.2719
 142   1  103.00  -89.00       -0.2719
 143   1  105.00  -89.00       -0.2719
 144   1  107.00  -89.00       -0.2719
 145   1  109.00  -89.00       -0.2719
 146   1  111.00  -89.00       -0.2719
 147   1  113.00  -89.00       -0.2719
 148   1  115.00  -89.00       -0.2719
 149   1  117.00  -89.00       -0.2719
 150   1  119.00  -89.00       -0.2719
 151   1  121.00  -89.00       -0.2719
 152   1  123.00  -89.00       -0.2719
 153   1  125.00  -89.00       -0.2719
 154   1  127.00  -89.00       -0.2719
 155   1  129.00  -89.00       -0.2719
 156   1  131.00  -89.00       -0.2719
 157   1  133.00  -89.00       -0.2719
 158   1  135.00  -89.00       -0.2719
 159   1  137.00  -89.00       -0.2719
 160   1  139.00  -89.00       -0.2719
 161   1  141.00  -89.00       -0.2719
 162   1  143.00  -89.00       -0.2719
 163   1  145.00  -89.00       -0.2719
 164   1  147.00  -89.00       -0.2719
 165   1  149.00  -89.00       -0.2719
 166   1  151.00  -89.00       -0.2719
 167   1  153.00  -89.00       -0.2719
 168   1  155.00  -89.00       -0.2719
 169   1  157.00  -89.00       -0.2719
 170   1  159.00  -89.00       -0.2719
 171   1  161.00  -89.00       -0.2719
 172   1  163.00  -89.00       -0.2719
 173   1  165.00  -89.00       -0.2719
 174   1  167.00  -89.00       -0.2719
 175   1  169.00  -89.00       -0.2719
 176   1  171.00  -89.00       -0.2719
 177   1  173.00  -89.00       -0.2719
 178   1  175.00  -89.00       -0.2719
 179   1  177.00  -89.00       -0.2719
 180   1  179.00  -89.00       -0.2719
   1   2 -179.00  -87.00       -0.2719
   2   2 -177.00  -87.00       -0.2719
   3   2 -175.00  -87.00       -0.2719
   4   2 -173.00  -87.00       -0.2719
   5   2 -171.00  -87.00       -0.2719
   6   2 -169.00  -87.00       -0.2719
   7   2 -167.00  -87.00       -0.2719
   8   2 -165.00  -87.00       -0.2719
   9   2 -163.00  -87.00       -0.2719
  10   2 -161.00  -87.00       -0.2719
  11   2 -159.00  -87.00       -0.2719
  12   2 -157.00  -87.00       -0.2719
  13   2 -155.00  -87.00       -0.2719
  14   2 -153.00  -87.00       -0.2719
  15   2 -151.00  -87.00       -0.2719
  16   2 -149.00  -87.00       -0.2719
  17   2 -147.00  -87.00       -0.2719
  18   2 -145.00  -87.00       -0.2719
  19   2 -143.00  -87.00       -0.2719
  20   2 -141.00  -87.00       -0.2719
  21   2 -139.00  -87.00       -0.2719
  22   2 -137.00  -87.00       -0.2719
  23   2 -135.00  -87.00       -0.2719
  24   2 -133.00  -87.00       -0.2719
  25   2 -131.00  -87.00       -0.2719
  26   2 -129.00  -87.00       -0.2719
  27   2 -127.00  -87.00       -0.2719
  28   2 -125.00  -87.00       -0.2719
  29   2 -123.00  -87.00       -0.2719
  30   2 -121.00  -87.00       -0.2719
  31   2 -119.00  -87.00       -0.2719
  32   2 -117.00  -87.00       -0.2719
  33   2 -115.00  -87.00       -0.2719
  34   2 -113.00  -87.00       -0.2719
  35   2 -111.00  -87.00       -0.2719
  36   2 -109.00  -87.00       -0.2719
  37   2 -107.00  -87.00       -0.2719
  38   2 -105.00  -87.00       -0.2719
  39   2 -103.00  -87.00       -0.2719
  40   2 -101.00  -87.00       -0.2719
  41   2  -99.00  -87.00       -0.2719
  42   2  -97.00  -87.00       -0.2719
  43   2  -95.00  -87.00       -0.2719
  44   2  -93.00  -87.00       -0.2719
  45   2  -91.00  -87.00       -0.2719
  46   2  -89.00  -87.00       -0.2719
  47   2  -87.00  -87.00       -0.2719
  48   2  -85.00  -87.00       -0.2719
  49   2  -83.00  -87.00       -0.2719
  50   2  -81.00  -87.00       -0.2719
  51   2  -79.00  -87.00       -0.2719
  52   2  -77.00  -87.00       -0.2719
  53   2  -75.00  -87.00       -0.2719
  54   2  -73.00  -87.00       -0.2719
  55   2  -71.00  -87.00       -0.2719
  56   2  -69.00  -87.00       -0.2719
  57   2  -67.00  -87.00       -0.2719
  58   2  -65.00  -87.00       -0.2719
  59   2  -63.00  -87.00       -0.2719
  60   2  -61.00  -87.00       -0.2719
  61   2  -59.00  -87.00       -0.2719
  62   2  -57.00  -87.00       -0.2719
  63   2  -55.00  -87.00       -0.2719
  64   2  -53.00  -87.00       -0.2719
  65   2  -51.00  -87.00       -0.2719
  66   2  -49.00  -87.00       -0.2719
  67   2  -47.00  -87.00       -0.2719
  68   2  -45.00  -87.00       -0.2719
  69   2  -43.00  -87.00       -0.2719
  70   2  -41.00  -87.00       -0.2719
  71   2  -39.00  -87.00       -0.2719
  72   2  -37.00  -87.00       -0.2719
  73   2  -35.00  -87.00       -0.2719
  74   2  -33.00  -87.00       -0.2719
  75   2  -31.00  -87.00       -0.2719
  76   2  -29.00  -87.00       -0.2719
  77   2  -27.00  -87.00       -0.2719
  78   2  -25.00  -87.00       -0.2719
  79   2  -23.00  -87.00       -0.2719
  80   2  -21.00  -87.00       -0.2719
  81   2  -19.00  -87.00       -0.2719
  82   2  -17.00  -87.00       -0.2719
  83   2  -15.00  -87.00       -0.2719
  84   2  -13.00  -87.00       -0.2719
  85   2  -11.00  -87.00       -0.2719
  86   2   -9.00  -87.00       -0.2719
  87   2   -7.00  -87.00       -0.2719
  88   2   -5.00  -87.00       -0.2719
  89   2   -3.00  -87.00       -0.2719
  90   2   -1.00  -87.00       -0.2719
  91   2    1.00  -87.00       -0.2719
  92   2    3.00  -87.00       -0.2719
  93   2    5.00  -87.00       -0.2719
  94   2    7.00  -87.00       -0.2719
  95   2    9.00  -87.00       -0.2719
  96   2   11.00  -87.00       -0.2719
  97   2   13.00  -87.00       -0.2719
  98   2   15.00  -87.00       -0.2719
  99   2   17.00  -87.00       -0.2719
 100   2   19.00  -87.00       -0.2719
 101   2   21.00  -87.00       -0.2719
 102   2   23.00  -87.00       -0.2719
 103   2   25.00  -87.00       -0.2719
 104   2   27.00  -87.00       -0.2719
 105   2   29.00  -87.00       -0.2719
 106   2   31.00  -87.00       -0.2719
 107   2   33.00  -87.00       -0.2719
 108   2   35.00  -87.00       -0.2719
 109   2   37.00  -87.00       -0.2719
 110   2   39.00  -87.00       -0.2719
 111   2   41.00  -87.00       -0.2719
 112   2   43.00  -87.00       -0.2719
 113   2   45.00  -87.00       -0.2719
 114   2   47.00  -87.00       -0.2719
 115   2   49.00  -87.00       -0.2719
 116   2   51.00  -87.00       -0.2719
 117   2   53.00  -87.00       -0.2719
 118   2   55.00  -87.00       -0.2719
 119   2   57.00  -87.00       -0.2719
 120   2   59.00  -87.00       -0.2719
 121   2   61.00  -87.00       -0.2719
 122   2   63.00  -87.00       -0.2719
 123   2   65.00  -87.00       -0.2719
