_Annual_J-D_2021_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -1.0914
   2   1 -177.00  -89.00       -1.0914
   3   1 -175.00  -89.00       -1.0914
   4   1 -173.00  -89.00       -1.0914
   5   1 -171.00  -89.00       -1.0914
   6   1 -169.00  -89.00       -1.0914
   7   1 -167.00  -89.00       -1.0914
   8   1 -165.00  -89.00       -1.0914
   9   1 -163.00  -89.00       -1.0914
  10   1 -161.00  -89.00       -1.0914
  11   1 -159.00  -89.00       -1.0914
  12   1 -157.00  -89.00       -1.0914
  13   1 -155.00  -89.00       -1.0914
  14   1 -153.00  -89.00       -1.0914
  15   1 -151.00  -89.00       -1.0914
  16   1 -149.00  -89.00       -1.0914
  17   1 -147.00  -89.00       -1.0914
  18   1 -145.00  -89.00       -1.0914
  19   1 -143.00  -89.00       -1.0914
  20   1 -141.00  -89.00       -1.0914
  21   1 -139.00  -89.00       -1.0914
  22   1 -137.00  -89.00       -1.0914
  23   1 -135.00  -89.00       -1.0914
  24   1 -133.00  -89.00       -1.0914
  25   1 -131.00  -89.00       -1.0914
  26   1 -129.00  -89.00       -1.0914
  27   1 -127.00  -89.00       -1.0914
  28   1 -125.00  -89.00       -1.0914
  29   1 -123.00  -89.00       -1.0914
  30   1 -121.00  -89.00       -1.0914
  31   1 -119.00  -89.00       -1.0914
  32   1 -117.00  -89.00       -1.0914
  33   1 -115.00  -89.00       -1.0914
  34   1 -113.00  -89.00       -1.0914
  35   1 -111.00  -89.00       -1.0914
  36   1 -109.00  -89.00       -1.0914
  37   1 -107.00  -89.00       -1.0914
  38   1 -105.00  -89.00       -1.0914
  39   1 -103.00  -89.00       -1.0914
  40   1 -101.00  -89.00       -1.0914
  41   1  -99.00  -89.00       -1.0914
  42   1  -97.00  -89.00       -1.0914
  43   1  -95.00  -89.00       -1.0914
  44   1  -93.00  -89.00       -1.0914
  45   1  -91.00  -89.00       -1.0914
  46   1  -89.00  -89.00       -1.0914
  47   1  -87.00  -89.00       -1.0914
  48   1  -85.00  -89.00       -1.0914
  49   1  -83.00  -89.00       -1.0914
  50   1  -81.00  -89.00       -1.0914
  51   1  -79.00  -89.00       -1.0914
  52   1  -77.00  -89.00       -1.0914
  53   1  -75.00  -89.00       -1.0914
  54   1  -73.00  -89.00       -1.0914
  55   1  -71.00  -89.00       -1.0914
  56   1  -69.00  -89.00       -1.0914
  57   1  -67.00  -89.00       -1.0914
  58   1  -65.00  -89.00       -1.0914
  59   1  -63.00  -89.00       -1.0914
  60   1  -61.00  -89.00       -1.0914
  61   1  -59.00  -89.00       -1.0914
  62   1  -57.00  -89.00       -1.0914
  63   1  -55.00  -89.00       -1.0914
  64   1  -53.00  -89.00       -1.0914
