_Annual_J-D_1998_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -0.6529
   2   1 -177.00  -89.00       -0.6529
   3   1 -175.00  -89.00       -0.6529
   4   1 -173.00  -89.00       -0.6529
   5   1 -171.00  -89.00       -0.6529
   6   1 -169.00  -89.00       -0.6529
   7   1 -167.00  -89.00       -0.6529
   8   1 -165.00  -89.00       -0.6529
   9   1 -163.00  -89.00       -0.6529
  10   1 -161.00  -89.00       -0.6529
  11   1 -159.00  -89.00       -0.6529
  12   1 -157.00  -89.00       -0.6529
  13   1 -155.00  -89.00       -0.6529
  14   1 -153.00  -89.00       -0.6529
  15   1 -151.00  -89.00       -0.6529
  16   1 -149.00  -89.00       -0.6529
  17   1 -147.00  -89.00       -0.6529
  18   1 -145.00  -89.00       -0.6529
  19   1 -143.00  -89.00       -0.6529
  20   1 -141.00  -89.00       -0.6529
  21   1 -139.00  -89.00       -0.6529
  22   1 -137.00  -89.00       -0.6529
  23   1 -135.00  -89.00       -0.6529
  24   1 -133.00  -89.00       -0.6529
  25   1 -131.00  -89.00       -0.6529
  26   1 -129.00  -89.00       -0.6529
  27   1 -127.00  -89.00       -0.6529
  28   1 -125.00  -89.00       -0.6529
  29   1 -123.00  -89.00       -0.6529
  30   1 -121.00  -89.00       -0.6529
  31   1 -119.00  -89.00       -0.6529
  32   1 -117.00  -89.00       -0.6529
  33   1 -115.00  -89.00       -0.6529
  34   1 -113.00  -89.00       -0.6529
  35   1 -111.00  -89.00       -0.6529
  36   1 -109.00  -89.00       -0.6529
  37   1 -107.00  -89.00       -0.6529
  38   1 -105.00  -89.00       -0.6529
  39   1 -103.00  -89.00       -0.6529
  40   1 -101.00  -89.00       -0.6529
  41   1  -99.00  -89.00       -0.6529
  42   1  -97.00  -89.00       -0.6529
  43   1  -95.00  -89.00       -0.6529
  44   1  -93.00  -89.00       -0.6529
  45   1  -91.00  -89.00       -0.6529
  46   1  -89.00  -89.00       -0.6529
  47   1  -87.00  -89.00       -0.6529
  48   1  -85.00  -89.00       -0.6529
  49   1  -83.00  -89.00       -0.6529
  50   1  -81.00  -89.00       -0.6529
  51   1  -79.00  -89.00       -0.6529
  52   1  -77.00  -89.00       -0.6529
  53   1  -75.00  -89.00       -0.6529
  54   1  -73.00  -89.00       -0.6529
  55   1  -71.00  -89.00       -0.6529
  56   1  -69.00  -89.00       -0.6529
  57   1  -67.00  -89.00       -0.6529
  58   1  -65.00  -89.00       -0.6529
  59   1  -63.00  -89.00       -0.6529
  60   1  -61.00  -89.00       -0.6529
  61   1  -59.00  -89.00       -0.6529
  62   1  -57.00  -89.00       -0.6529
  63   1  -55.00  -89.00       -0.6529
  64   1  -53.00  -89.00       -0.6529
  65   1  -51.00  -89.00       -0.6529
  66   1  -49.00  -89.00       -0.6529
  67   1  -47.00  -89.00       -0.6529
  68   1  -45.00  -89.00       -0.6529
  69   1  -43.00  -89.00       -0.6529
  70   1  -41.00  -89.00       -0.6529
  71   1  -39.00  -89.00       -0.6529
  72   1  -37.00  -89.00       -0.6529
  73   1  -35.00  -89.00       -0.6529
  74   1  -33.00  -89.00       -0.6529
  75   1  -31.00  -89.00       -0.6529
  76   1  -29.00  -89.00       -0.6529
  77   1  -27.00  -89.00       -0.6529
  78   1  -25.00  -89.00       -0.6529
  79   1  -23.00  -89.00       -0.6529
  80   1  -21.00  -89.00       -0.6529
  81   1  -19.00  -89.00       -0.6529
  82   1  -17.00  -89.00       -0.6529
  83   1  -15.00  -89.00       -0.6529
  84   1  -13.00  -89.00       -0.6529
  85   1  -11.00  -89.00       -0.6529
  86   1   -9.00  -89.00       -0.6529
  87   1   -7.00  -89.00       -0.6529
  88   1   -5.00  -89.00       -0.6529
  89   1   -3.00  -89.00       -0.6529
  90   1   -1.00  -89.00       -0.6529
  91   1    1.00  -89.00       -0.6529
  92   1    3.00  -89.00       -0.6529
  93   1    5.00  -89.00       -0.6529
  94   1    7.00  -89.00       -0.6529
  95   1    9.00  -89.00       -0.6529
  96   1   11.00  -89.00       -0.6529
  97   1   13.00  -89.00       -0.6529
  98   1   15.00  -89.00       -0.6529
  99   1   17.00  -89.00       -0.6529
 100   1   19.00  -89.00       -0.6529
 101   1   21.00  -89.00       -0.6529
 102   1   23.00  -89.00       -0.6529
 103   1   25.00  -89.00       -0.6529
 104   1   27.00  -89.00       -0.6529
 105   1   29.00  -89.00       -0.6529
 106   1   31.00  -89.00       -0.6529
 107   1   33.00  -89.00       -0.6529
 108   1   35.00  -89.00       -0.6529
 109   1   37.00  -89.00       -0.6529
 110   1   39.00  -89.00       -0.6529
 111   1   41.00  -89.00       -0.6529
 112   1   43.00  -89.00       -0.6529
 113   1   45.00  -89.00       -0.6529
 114   1   47.00  -89.00       -0.6529
 115   1   49.00  -89.00       -0.6529
 116   1   51.00  -89.00       -0.6529
 117   1   53.00  -89.00       -0.6529
 118   1   55.00  -89.00       -0.6529
 119   1   57.00  -89.00       -0.6529
 120   1   59.00  -89.00       -0.6529
 121   1   61.00  -89.00       -0.6529
 122   1   63.00  -89.00       -0.6529
 123   1   65.00  -89.00       -0.6529
 124   1   67.00  -89.00       -0.6529
 125   1   69.00  -89.00       -0.6529
 126   1   71.00  -89.00       -0.6529
 127   1   73.00  -89.00       -0.6529
 128   1   75.00  -89.00       -0.6529
 129   1   77.00  -89.00       -0.6529
 130   1   79.00  -89.00       -0.6529
 131   1   81.00  -89.00       -0.6529
 132   1   83.00  -89.00       -0.6529
 133   1   85.00  -89.00       -0.6529
 134   1   87.00  -89.00       -0.6529
 135   1   89.00  -89.00       -0.6529
 136   1   91.00  -89.00       -0.6529
 137   1   93.00  -89.00       -0.6529
 138   1   95.00  -89.00       -0.6529
 139   1   97.00  -89.00       -0.6529
 140   1   99.00  -89.00       -0.6529
 141   1  101.00  -89.00       -0.6529
 142   1  103.00  -89.00       -0.6529
 143   1  105.00  -89.00       -0.6529
 144   1  107.00  -89.00       -0.6529
 145   1  109.00  -89.00       -0.6529
 146   1  111.00  -89.00       -0.6529
 147   1  113.00  -89.00       -0.6529
 148   1  115.00  -89.00       -0.6529
 149   1  117.00  -89.00       -0.6529
 150   1  119.00  -89.00       -0.6529
 151   1  121.00  -89.00       -0.6529
 152   1  123.00  -89.00       -0.6529
 153   1  125.00  -89.00       -0.6529
 154   1  127.00  -89.00       -0.6529
 155   1  129.00  -89.00       -0.6529
 156   1  131.00  -89.00       -0.6529
 157   1  133.00  -89.00       -0.6529
 158   1  135.00  -89.00       -0.6529
 159   1  137.00  -89.00       -0.6529
 160   1  139.00  -89.00       -0.6529
 161   1  141.00  -89.00       -0.6529
 162   1  143.00  -89.00       -0.6529
 163   1  145.00  -89.00       -0.6529
 164   1  147.00  -89.00       -0.6529
 165   1  149.00  -89.00       -0.6529
 166   1  151.00  -89.00       -0.6529
 167   1  153.00  -89.00       -0.6529
 168   1  155.00  -89.00       -0.6529
 169   1  157.00  -89.00       -0.6529
 170   1  159.00  -89.00       -0.6529
 171   1  161.00  -89.00       -0.6529
 172   1  163.00  -89.00       -0.6529
 173   1  165.00  -89.00       -0.6529
 174   1  167.00  -89.00       -0.6529
 175   1  169.00  -89.00       -0.6529
 176   1  171.00  -89.00       -0.6529
 177   1  173.00  -89.00       -0.6529
 178   1  175.00  -89.00       -0.6529
 179   1  177.00  -89.00       -0.6529
 180   1  179.00  -89.00       -0.6529
   1   2 -179.00  -87.00       -0.6529
   2   2 -177.00  -87.00       -0.6529
   3   2 -175.00  -87.00       -0.6529
   4   2 -173.00  -87.00       -0.6529
   5   2 -171.00  -87.00       -0.6529
   6   2 -169.00  -87.00       -0.6529
   7   2 -167.00  -87.00       -0.6529
   8   2 -165.00  -87.00       -0.6529
   9   2 -163.00  -87.00       -0.6529
  10   2 -161.00  -87.00       -0.6529
  11   2 -159.00  -87.00       -0.6529
  12   2 -157.00  -87.00       -0.6529
  13   2 -155.00  -87.00       -0.6529
  14   2 -153.00  -87.00       -0.6529
  15   2 -151.00  -87.00       -0.6529
  16   2 -149.00  -87.00       -0.6529
  17   2 -147.00  -87.00       -0.6529
  18   2 -145.00  -87.00       -0.6529
  19   2 -143.00  -87.00       -0.6529
  20   2 -141.00  -87.00       -0.6529
  21   2 -139.00  -87.00       -0.6529
  22   2 -137.00  -87.00       -0.6529
  23   2 -135.00  -87.00       -0.6529
  24   2 -133.00  -87.00       -0.6529
  25   2 -131.00  -87.00       -0.6529
  26   2 -129.00  -87.00       -0.6529
  27   2 -127.00  -87.00       -0.6529
  28   2 -125.00  -87.00       -0.6529
  29   2 -123.00  -87.00       -0.6529
  30   2 -121.00  -87.00       -0.6529
  31   2 -119.00  -87.00       -0.6529
  32   2 -117.00  -87.00       -0.6529
  33   2 -115.00  -87.00       -0.6529
  34   2 -113.00  -87.00       -0.6529
  35   2 -111.00  -87.00       -0.6529
  36   2 -109.00  -87.00       -0.6529
  37   2 -107.00  -87.00       -0.6529
  38   2 -105.00  -87.00       -0.6529
  39   2 -103.00  -87.00       -0.6529
  40   2 -101.00  -87.00       -0.6529
  41   2  -99.00  -87.00       -0.6529
  42   2  -97.00  -87.00       -0.6529
  43   2  -95.00  -87.00       -0.6529
  44   2  -93.00  -87.00       -0.6529
