_Annual_J-D_1993_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -0.9597
   2   1 -177.00  -89.00       -0.9597
   3   1 -175.00  -89.00       -0.9597
   4   1 -173.00  -89.00       -0.9597
   5   1 -171.00  -89.00       -0.9597
   6   1 -169.00  -89.00       -0.9597
   7   1 -167.00  -89.00       -0.9597
   8   1 -165.00  -89.00       -0.9597
   9   1 -163.00  -89.00       -0.9597
  10   1 -161.00  -89.00       -0.9597
  11   1 -159.00  -89.00       -0.9597
  12   1 -157.00  -89.00       -0.9597
  13   1 -155.00  -89.00       -0.9597
  14   1 -153.00  -89.00       -0.9597
  15   1 -151.00  -89.00       -0.9597
  16   1 -149.00  -89.00       -0.9597
  17   1 -147.00  -89.00       -0.9597
  18   1 -145.00  -89.00       -0.9597
  19   1 -143.00  -89.00       -0.9597
  20   1 -141.00  -89.00       -0.9597
  21   1 -139.00  -89.00       -0.9597
  22   1 -137.00  -89.00       -0.9597
  23   1 -135.00  -89.00       -0.9597
  24   1 -133.00  -89.00       -0.9597
  25   1 -131.00  -89.00       -0.9597
  26   1 -129.00  -89.00       -0.9597
  27   1 -127.00  -89.00       -0.9597
  28   1 -125.00  -89.00       -0.9597
  29   1 -123.00  -89.00       -0.9597
  30   1 -121.00  -89.00       -0.9597
  31   1 -119.00  -89.00       -0.9597
  32   1 -117.00  -89.00       -0.9597
  33   1 -115.00  -89.00       -0.9597
  34   1 -113.00  -89.00       -0.9597
  35   1 -111.00  -89.00       -0.9597
  36   1 -109.00  -89.00       -0.9597
  37   1 -107.00  -89.00       -0.9597
  38   1 -105.00  -89.00       -0.9597
  39   1 -103.00  -89.00       -0.9597
  40   1 -101.00  -89.00       -0.9597
  41   1  -99.00  -89.00       -0.9597
  42   1  -97.00  -89.00       -0.9597
  43   1  -95.00  -89.00       -0.9597
  44   1  -93.00  -89.00       -0.9597
  45   1  -91.00  -89.00       -0.9597
  46   1  -89.00  -89.00       -0.9597
  47   1  -87.00  -89.00       -0.9597
  48   1  -85.00  -89.00       -0.9597
  49   1  -83.00  -89.00       -0.9597
  50   1  -81.00  -89.00       -0.9597
  51   1  -79.00  -89.00       -0.9597
  52   1  -77.00  -89.00       -0.9597
  53   1  -75.00  -89.00       -0.9597
  54   1  -73.00  -89.00       -0.9597
  55   1  -71.00  -89.00       -0.9597
  56   1  -69.00  -89.00       -0.9597
  57   1  -67.00  -89.00       -0.9597
  58   1  -65.00  -89.00       -0.9597
  59   1  -63.00  -89.00       -0.9597
  60   1  -61.00  -89.00       -0.9597
  61   1  -59.00  -89.00       -0.9597
  62   1  -57.00  -89.00       -0.9597
  63   1  -55.00  -89.00       -0.9597
  64   1  -53.00  -89.00       -0.9597
  65   1  -51.00  -89.00       -0.9597
  66   1  -49.00  -89.00       -0.9597
  67   1  -47.00  -89.00       -0.9597
  68   1  -45.00  -89.00       -0.9597
  69   1  -43.00  -89.00       -0.9597
  70   1  -41.00  -89.00       -0.9597
  71   1  -39.00  -89.00       -0.9597
  72   1  -37.00  -89.00       -0.9597
  73   1  -35.00  -89.00       -0.9597
  74   1  -33.00  -89.00       -0.9597
  75   1  -31.00  -89.00       -0.9597
  76   1  -29.00  -89.00       -0.9597
  77   1  -27.00  -89.00       -0.9597
  78   1  -25.00  -89.00       -0.9597
  79   1  -23.00  -89.00       -0.9597
  80   1  -21.00  -89.00       -0.9597
  81   1  -19.00  -89.00       -0.9597
  82   1  -17.00  -89.00       -0.9597
  83   1  -15.00  -89.00       -0.9597
  84   1  -13.00  -89.00       -0.9597
  85   1  -11.00  -89.00       -0.9597
  86   1   -9.00  -89.00       -0.9597
  87   1   -7.00  -89.00       -0.9597
  88   1   -5.00  -89.00       -0.9597
  89   1   -3.00  -89.00       -0.9597
  90   1   -1.00  -89.00       -0.9597
  91   1    1.00  -89.00       -0.9597
  92   1    3.00  -89.00       -0.9597
  93   1    5.00  -89.00       -0.9597
  94   1    7.00  -89.00       -0.9597
  95   1    9.00  -89.00       -0.9597
  96   1   11.00  -89.00       -0.9597
  97   1   13.00  -89.00       -0.9597
  98   1   15.00  -89.00       -0.9597
  99   1   17.00  -89.00       -0.9597
 100   1   19.00  -89.00       -0.9597
 101   1   21.00  -89.00       -0.9597
 102   1   23.00  -89.00       -0.9597
 103   1   25.00  -89.00       -0.9597
 104   1   27.00  -89.00       -0.9597
 105   1   29.00  -89.00       -0.9597
 106   1   31.00  -89.00       -0.9597
 107   1   33.00  -89.00       -0.9597
 108   1   35.00  -89.00       -0.9597
 109   1   37.00  -89.00       -0.9597
 110   1   39.00  -89.00       -0.9597
 111   1   41.00  -89.00       -0.9597
 112   1   43.00  -89.00       -0.9597
 113   1   45.00  -89.00       -0.9597
 114   1   47.00  -89.00       -0.9597
 115   1   49.00  -89.00       -0.9597
 116   1   51.00  -89.00       -0.9597
 117   1   53.00  -89.00       -0.9597
 118   1   55.00  -89.00       -0.9597
 119   1   57.00  -89.00       -0.9597
 120   1   59.00  -89.00       -0.9597
 121   1   61.00  -89.00       -0.9597
 122   1   63.00  -89.00       -0.9597
 123   1   65.00  -89.00       -0.9597
 124   1   67.00  -89.00       -0.9597
 125   1   69.00  -89.00       -0.9597
 126   1   71.00  -89.00       -0.9597
 127   1   73.00  -89.00       -0.9597
 128   1   75.00  -89.00       -0.9597
 129   1   77.00  -89.00       -0.9597
 130   1   79.00  -89.00       -0.9597
 131   1   81.00  -89.00       -0.9597
 132   1   83.00  -89.00       -0.9597
 133   1   85.00  -89.00       -0.9597
 134   1   87.00  -89.00       -0.9597
 135   1   89.00  -89.00       -0.9597
 136   1   91.00  -89.00       -0.9597
 137   1   93.00  -89.00       -0.9597
 138   1   95.00  -89.00       -0.9597
 139   1   97.00  -89.00       -0.9597
 140   1   99.00  -89.00       -0.9597
 141   1  101.00  -89.00       -0.9597
 142   1  103.00  -89.00       -0.9597
 143   1  105.00  -89.00       -0.9597
 144   1  107.00  -89.00       -0.9597
 145   1  109.00  -89.00       -0.9597
 146   1  111.00  -89.00       -0.9597
 147   1  113.00  -89.00       -0.9597
 148   1  115.00  -89.00       -0.9597
 149   1  117.00  -89.00       -0.9597
 150   1  119.00  -89.00       -0.9597
 151   1  121.00  -89.00       -0.9597
 152   1  123.00  -89.00       -0.9597
 153   1  125.00  -89.00       -0.9597
 154   1  127.00  -89.00       -0.9597
 155   1  129.00  -89.00       -0.9597
 156   1  131.00  -89.00       -0.9597
 157   1  133.00  -89.00       -0.9597
 158   1  135.00  -89.00       -0.9597
 159   1  137.00  -89.00       -0.9597
 160   1  139.00  -89.00       -0.9597
 161   1  141.00  -89.00       -0.9597
 162   1  143.00  -89.00       -0.9597
 163   1  145.00  -89.00       -0.9597
 164   1  147.00  -89.00       -0.9597
 165   1  149.00  -89.00       -0.9597
 166   1  151.00  -89.00       -0.9597
 167   1  153.00  -89.00       -0.9597
 168   1  155.00  -89.00       -0.9597
 169   1  157.00  -89.00       -0.9597
 170   1  159.00  -89.00       -0.9597
 171   1  161.00  -89.00       -0.9597
 172   1  163.00  -89.00       -0.9597
 173   1  165.00  -89.00       -0.9597
 174   1  167.00  -89.00       -0.9597
 175   1  169.00  -89.00       -0.9597
 176   1  171.00  -89.00       -0.9597
 177   1  173.00  -89.00       -0.9597
 178   1  175.00  -89.00       -0.9597
 179   1  177.00  -89.00       -0.9597
 180   1  179.00  -89.00       -0.9597
   1   2 -179.00  -87.00       -0.9597
   2   2 -177.00  -87.00       -0.9597
   3   2 -175.00  -87.00       -0.9597
   4   2 -173.00  -87.00       -0.9597
   5   2 -171.00  -87.00       -0.9597
   6   2 -169.00  -87.00       -0.9597
   7   2 -167.00  -87.00       -0.9597
   8   2 -165.00  -87.00       -0.9597
   9   2 -163.00  -87.00       -0.9597
  10   2 -161.00  -87.00       -0.9597
  11   2 -159.00  -87.00       -0.9597
  12   2 -157.00  -87.00       -0.9597
  13   2 -155.00  -87.00       -0.9597
  14   2 -153.00  -87.00       -0.9597
  15   2 -151.00  -87.00       -0.9597
  16   2 -149.00  -87.00       -0.9597
  17   2 -147.00  -87.00       -0.9597
  18   2 -145.00  -87.00       -0.9597
  19   2 -143.00  -87.00       -0.9597
  20   2 -141.00  -87.00       -0.9597
  21   2 -139.00  -87.00       -0.9597
  22   2 -137.00  -87.00       -0.9597
  23   2 -135.00  -87.00       -0.9597
  24   2 -133.00  -87.00       -0.9597
  25   2 -131.00  -87.00       -0.9597
  26   2 -129.00  -87.00       -0.9597
  27   2 -127.00  -87.00       -0.9597
  28   2 -125.00  -87.00       -0.9597
  29   2 -123.00  -87.00       -0.9597
  30   2 -121.00  -87.00       -0.9597
  31   2 -119.00  -87.00       -0.9597
  32   2 -117.00  -87.00       -0.9597
  33   2 -115.00  -87.00       -0.9597
  34   2 -113.00  -87.00       -0.9597
  35   2 -111.00  -87.00       -0.9597
  36   2 -109.00  -87.00       -0.9597
  37   2 -107.00  -87.00       -0.9597
  38   2 -105.00  -87.00       -0.9597
  39   2 -103.00  -87.00       -0.9597
  40   2 -101.00  -87.00       -0.9597
  41   2  -99.00  -87.00       -0.9597
  42   2  -97.00  -87.00       -0.9597
  43   2  -95.00  -87.00       -0.9597
  44   2  -93.00  -87.00       -0.9597
  45   2  -91.00  -87.00       -0.9597
  46   2  -89.00  -87.00       -0.9597
  47   2  -87.00  -87.00       -0.9597
  48   2  -85.00  -87.00       -0.9597
  49   2  -83.00  -87.00       -0.9597
  50   2  -81.00  -87.00       -0.9597
  51   2  -79.00  -87.00       -0.9597
  52   2  -77.00  -87.00       -0.9597
  53   2  -75.00  -87.00       -0.9597
  54   2  -73.00  -87.00       -0.9597
  55   2  -71.00  -87.00       -0.9597
  56   2  -69.00  -87.00       -0.9597
  57   2  -67.00  -87.00       -0.9597
  58   2  -65.00  -87.00       -0.9597
  59   2  -63.00  -87.00       -0.9597
  60   2  -61.00  -87.00       -0.9597
  61   2  -59.00  -87.00       -0.9597
  62   2  -57.00  -87.00       -0.9597
  63   2  -55.00  -87.00       -0.9597
  64   2  -53.00  -87.00       -0.9597
  65   2  -51.00  -87.00       -0.9597
  66   2  -49.00  -87.00       -0.9597
  67   2  -47.00  -87.00       -0.9597
  68   2  -45.00  -87.00       -0.9597
  69   2  -43.00  -87.00       -0.9597
  70   2  -41.00  -87.00       -0.9597
  71   2  -39.00  -87.00       -0.9597
  72   2  -37.00  -87.00       -0.9597
  73   2  -35.00  -87.00       -0.9597
  74   2  -33.00  -87.00       -0.9597
  75   2  -31.00  -87.00       -0.9597
  76   2  -29.00  -87.00       -0.9597
  77   2  -27.00  -87.00       -0.9597
  78   2  -25.00  -87.00       -0.9597
  79   2  -23.00  -87.00       -0.9597
  80   2  -21.00  -87.00       -0.9597
  81   2  -19.00  -87.00       -0.9597
  82   2  -17.00  -87.00       -0.9597
  83   2  -15.00  -87.00       -0.9597
  84   2  -13.00  -87.00       -0.9597
  85   2  -11.00  -87.00       -0.9597
  86   2   -9.00  -87.00       -0.9597
  87   2   -7.00  -87.00       -0.9597
  88   2   -5.00  -87.00       -0.9597
  89   2   -3.00  -87.00       -0.9597
  90   2   -1.00  -87.00       -0.9597
  91   2    1.00  -87.00       -0.9597
  92   2    3.00  -87.00       -0.9597
  93   2    5.00  -87.00       -0.9597
  94   2    7.00  -87.00       -0.9597
  95   2    9.00  -87.00       -0.9597
  96   2   11.00  -87.00       -0.9597
  97   2   13.00  -87.00       -0.9597
  98   2   15.00  -87.00       -0.9597
  99   2   17.00  -87.00       -0.9597
 100   2   19.00  -87.00       -0.9597
 101   2   21.00  -87.00       -0.9597
 102   2   23.00  -87.00       -0.9597
 103   2   25.00  -87.00       -0.9597
 104   2   27.00  -87.00       -0.9597
 105   2   29.00  -87.00       -0.9597
 106   2   31.00  -87.00       -0.9597
 107   2   33.00  -87.00       -0.9597
 108   2   35.00  -87.00       -0.9597
 109   2   37.00  -87.00       -0.9597
 110   2   39.00  -87.00       -0.9597
 111   2   41.00  -87.00       -0.9597
 112   2   43.00  -87.00       -0.9597
 113   2   45.00  -87.00       -0.9597
 114   2   47.00  -87.00       -0.9597
 115   2   49.00  -87.00       -0.9597
 116   2   51.00  -87.00       -0.9597
 117   2   53.00  -87.00       -0.9597
 118   2   55.00  -87.00       -0.9597
 119   2   57.00  -87.00       -0.9597
 120   2   59.00  -87.00       -0.9597
 121   2   61.00  -87.00       -0.9597
 122   2   63.00  -87.00       -0.9597
 123   2   65.00  -87.00       -0.9597
 124   2   67.00  -87.00       -0.9597
 125   2   69.00  -87.00       -0.9597
 126   2   71.00  -87.00       -0.9597
 127   2   73.00  -87.00       -0.9597
