_Annual_J-D_2003_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -0.2133
   2   1 -177.00  -89.00       -0.2133
   3   1 -175.00  -89.00       -0.2133
   4   1 -173.00  -89.00       -0.2133
   5   1 -171.00  -89.00       -0.2133
   6   1 -169.00  -89.00       -0.2133
   7   1 -167.00  -89.00       -0.2133
   8   1 -165.00  -89.00       -0.2133
   9   1 -163.00  -89.00       -0.2133
  10   1 -161.00  -89.00       -0.2133
  11   1 -159.00  -89.00       -0.2133
  12   1 -157.00  -89.00       -0.2133
  13   1 -155.00  -89.00       -0.2133
  14   1 -153.00  -89.00       -0.2133
  15   1 -151.00  -89.00       -0.2133
  16   1 -149.00  -89.00       -0.2133
  17   1 -147.00  -89.00       -0.2133
  18   1 -145.00  -89.00       -0.2133
  19   1 -143.00  -89.00       -0.2133
  20   1 -141.00  -89.00       -0.2133
  21   1 -139.00  -89.00       -0.2133
  22   1 -137.00  -89.00       -0.2133
  23   1 -135.00  -89.00       -0.2133
  24   1 -133.00  -89.00       -0.2133
  25   1 -131.00  -89.00       -0.2133
  26   1 -129.00  -89.00       -0.2133
  27   1 -127.00  -89.00       -0.2133
  28   1 -125.00  -89.00       -0.2133
  29   1 -123.00  -89.00       -0.2133
  30   1 -121.00  -89.00       -0.2133
  31   1 -119.00  -89.00       -0.2133
  32   1 -117.00  -89.00       -0.2133
  33   1 -115.00  -89.00       -0.2133
  34   1 -113.00  -89.00       -0.2133
  35   1 -111.00  -89.00       -0.2133
  36   1 -109.00  -89.00       -0.2133
  37   1 -107.00  -89.00       -0.2133
  38   1 -105.00  -89.00       -0.2133
  39   1 -103.00  -89.00       -0.2133
  40   1 -101.00  -89.00       -0.2133
  41   1  -99.00  -89.00       -0.2133
  42   1  -97.00  -89.00       -0.2133
  43   1  -95.00  -89.00       -0.2133
  44   1  -93.00  -89.00       -0.2133
  45   1  -91.00  -89.00       -0.2133
  46   1  -89.00  -89.00       -0.2133
  47   1  -87.00  -89.00       -0.2133
  48   1  -85.00  -89.00       -0.2133
  49   1  -83.00  -89.00       -0.2133
  50   1  -81.00  -89.00       -0.2133
  51   1  -79.00  -89.00       -0.2133
  52   1  -77.00  -89.00       -0.2133
  53   1  -75.00  -89.00       -0.2133
  54   1  -73.00  -89.00       -0.2133
  55   1  -71.00  -89.00       -0.2133
  56   1  -69.00  -89.00       -0.2133
  57   1  -67.00  -89.00       -0.2133
  58   1  -65.00  -89.00       -0.2133
  59   1  -63.00  -89.00       -0.2133
  60   1  -61.00  -89.00       -0.2133
  61   1  -59.00  -89.00       -0.2133
  62   1  -57.00  -89.00       -0.2133
  63   1  -55.00  -89.00       -0.2133
  64   1  -53.00  -89.00       -0.2133
  65   1  -51.00  -89.00       -0.2133
  66   1  -49.00  -89.00       -0.2133
  67   1  -47.00  -89.00       -0.2133
  68   1  -45.00  -89.00       -0.2133
  69   1  -43.00  -89.00       -0.2133
  70   1  -41.00  -89.00       -0.2133
  71   1  -39.00  -89.00       -0.2133
  72   1  -37.00  -89.00       -0.2133
  73   1  -35.00  -89.00       -0.2133
  74   1  -33.00  -89.00       -0.2133
