_Annual_J-D_1997_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -0.3895
   2   1 -177.00  -89.00       -0.3895
   3   1 -175.00  -89.00       -0.3895
   4   1 -173.00  -89.00       -0.3895
   5   1 -171.00  -89.00       -0.3895
   6   1 -169.00  -89.00       -0.3895
   7   1 -167.00  -89.00       -0.3895
   8   1 -165.00  -89.00       -0.3895
   9   1 -163.00  -89.00       -0.3895
  10   1 -161.00  -89.00       -0.3895
  11   1 -159.00  -89.00       -0.3895
  12   1 -157.00  -89.00       -0.3895
  13   1 -155.00  -89.00       -0.3895
  14   1 -153.00  -89.00       -0.3895
  15   1 -151.00  -89.00       -0.3895
  16   1 -149.00  -89.00       -0.3895
  17   1 -147.00  -89.00       -0.3895
  18   1 -145.00  -89.00       -0.3895
  19   1 -143.00  -89.00       -0.3895
  20   1 -141.00  -89.00       -0.3895
  21   1 -139.00  -89.00       -0.3895
  22   1 -137.00  -89.00       -0.3895
  23   1 -135.00  -89.00       -0.3895
  24   1 -133.00  -89.00       -0.3895
  25   1 -131.00  -89.00       -0.3895
  26   1 -129.00  -89.00       -0.3895
  27   1 -127.00  -89.00       -0.3895
  28   1 -125.00  -89.00       -0.3895
  29   1 -123.00  -89.00       -0.3895
  30   1 -121.00  -89.00       -0.3895
  31   1 -119.00  -89.00       -0.3895
  32   1 -117.00  -89.00       -0.3895
  33   1 -115.00  -89.00       -0.3895
  34   1 -113.00  -89.00       -0.3895
  35   1 -111.00  -89.00       -0.3895
  36   1 -109.00  -89.00       -0.3895
  37   1 -107.00  -89.00       -0.3895
  38   1 -105.00  -89.00       -0.3895
  39   1 -103.00  -89.00       -0.3895
  40   1 -101.00  -89.00       -0.3895
  41   1  -99.00  -89.00       -0.3895
  42   1  -97.00  -89.00       -0.3895
  43   1  -95.00  -89.00       -0.3895
  44   1  -93.00  -89.00       -0.3895
  45   1  -91.00  -89.00       -0.3895
  46   1  -89.00  -89.00       -0.3895
  47   1  -87.00  -89.00       -0.3895
  48   1  -85.00  -89.00       -0.3895
  49   1  -83.00  -89.00       -0.3895
  50   1  -81.00  -89.00       -0.3895
  51   1  -79.00  -89.00       -0.3895
  52   1  -77.00  -89.00       -0.3895
  53   1  -75.00  -89.00       -0.3895
  54   1  -73.00  -89.00       -0.3895
  55   1  -71.00  -89.00       -0.3895
  56   1  -69.00  -89.00       -0.3895
  57   1  -67.00  -89.00       -0.3895
  58   1  -65.00  -89.00       -0.3895
  59   1  -63.00  -89.00       -0.3895
  60   1  -61.00  -89.00       -0.3895
  61   1  -59.00  -89.00       -0.3895
  62   1  -57.00  -89.00       -0.3895
  63   1  -55.00  -89.00       -0.3895
  64   1  -53.00  -89.00       -0.3895
  65   1  -51.00  -89.00       -0.3895
  66   1  -49.00  -89.00       -0.3895
  67   1  -47.00  -89.00       -0.3895
  68   1  -45.00  -89.00       -0.3895
  69   1  -43.00  -89.00       -0.3895
  70   1  -41.00  -89.00       -0.3895
  71   1  -39.00  -89.00       -0.3895
  72   1  -37.00  -89.00       -0.3895
  73   1  -35.00  -89.00       -0.3895
  74   1  -33.00  -89.00       -0.3895
  75   1  -31.00  -89.00       -0.3895
  76   1  -29.00  -89.00       -0.3895
  77   1  -27.00  -89.00       -0.3895
  78   1  -25.00  -89.00       -0.3895
  79   1  -23.00  -89.00       -0.3895
  80   1  -21.00  -89.00       -0.3895
  81   1  -19.00  -89.00       -0.3895
  82   1  -17.00  -89.00       -0.3895
  83   1  -15.00  -89.00       -0.3895
  84   1  -13.00  -89.00       -0.3895
  85   1  -11.00  -89.00       -0.3895
  86   1   -9.00  -89.00       -0.3895
  87   1   -7.00  -89.00       -0.3895
  88   1   -5.00  -89.00       -0.3895
  89   1   -3.00  -89.00       -0.3895
  90   1   -1.00  -89.00       -0.3895
  91   1    1.00  -89.00       -0.3895
  92   1    3.00  -89.00       -0.3895
  93   1    5.00  -89.00       -0.3895
  94   1    7.00  -89.00       -0.3895
  95   1    9.00  -89.00       -0.3895
  96   1   11.00  -89.00       -0.3895
  97   1   13.00  -89.00       -0.3895
  98   1   15.00  -89.00       -0.3895
  99   1   17.00  -89.00       -0.3895
 100   1   19.00  -89.00       -0.3895
 101   1   21.00  -89.00       -0.3895
 102   1   23.00  -89.00       -0.3895
 103   1   25.00  -89.00       -0.3895
 104   1   27.00  -89.00       -0.3895
 105   1   29.00  -89.00       -0.3895
 106   1   31.00  -89.00       -0.3895
 107   1   33.00  -89.00       -0.3895
 108   1   35.00  -89.00       -0.3895
 109   1   37.00  -89.00       -0.3895
 110   1   39.00  -89.00       -0.3895
 111   1   41.00  -89.00       -0.3895
 112   1   43.00  -89.00       -0.3895
 113   1   45.00  -89.00       -0.3895
 114   1   47.00  -89.00       -0.3895
 115   1   49.00  -89.00       -0.3895
 116   1   51.00  -89.00       -0.3895
 117   1   53.00  -89.00       -0.3895
 118   1   55.00  -89.00       -0.3895
 119   1   57.00  -89.00       -0.3895
 120   1   59.00  -89.00       -0.3895
 121   1   61.00  -89.00       -0.3895
 122   1   63.00  -89.00       -0.3895
 123   1   65.00  -89.00       -0.3895
 124   1   67.00  -89.00       -0.3895
 125   1   69.00  -89.00       -0.3895
