_Annual_J-D_2012_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.3267
   2   1 -177.00  -89.00        0.3267
   3   1 -175.00  -89.00        0.3267
   4   1 -173.00  -89.00        0.3267
   5   1 -171.00  -89.00        0.3267
   6   1 -169.00  -89.00        0.3267
   7   1 -167.00  -89.00        0.3267
   8   1 -165.00  -89.00        0.3267
   9   1 -163.00  -89.00        0.3267
  10   1 -161.00  -89.00        0.3267
  11   1 -159.00  -89.00        0.3267
  12   1 -157.00  -89.00        0.3267
  13   1 -155.00  -89.00        0.3267
  14   1 -153.00  -89.00        0.3267
  15   1 -151.00  -89.00        0.3267
  16   1 -149.00  -89.00        0.3267
  17   1 -147.00  -89.00        0.3267
  18   1 -145.00  -89.00        0.3267
  19   1 -143.00  -89.00        0.3267
  20   1 -141.00  -89.00        0.3267
  21   1 -139.00  -89.00        0.3267
  22   1 -137.00  -89.00        0.3267
  23   1 -135.00  -89.00        0.3267
  24   1 -133.00  -89.00        0.3267
  25   1 -131.00  -89.00        0.3267
  26   1 -129.00  -89.00        0.3267
  27   1 -127.00  -89.00        0.3267
  28   1 -125.00  -89.00        0.3267
  29   1 -123.00  -89.00        0.3267
  30   1 -121.00  -89.00        0.3267
  31   1 -119.00  -89.00        0.3267
  32   1 -117.00  -89.00        0.3267
  33   1 -115.00  -89.00        0.3267
  34   1 -113.00  -89.00        0.3267
  35   1 -111.00  -89.00        0.3267
  36   1 -109.00  -89.00        0.3267
  37   1 -107.00  -89.00        0.3267
  38   1 -105.00  -89.00        0.3267
  39   1 -103.00  -89.00        0.3267
  40   1 -101.00  -89.00        0.3267
  41   1  -99.00  -89.00        0.3267
  42   1  -97.00  -89.00        0.3267
  43   1  -95.00  -89.00        0.3267
  44   1  -93.00  -89.00        0.3267
  45   1  -91.00  -89.00        0.3267
  46   1  -89.00  -89.00        0.3267
  47   1  -87.00  -89.00        0.3267
  48   1  -85.00  -89.00        0.3267
  49   1  -83.00  -89.00        0.3267
  50   1  -81.00  -89.00        0.3267
  51   1  -79.00  -89.00        0.3267
  52   1  -77.00  -89.00        0.3267
  53   1  -75.00  -89.00        0.3267
  54   1  -73.00  -89.00        0.3267
  55   1  -71.00  -89.00        0.3267
  56   1  -69.00  -89.00        0.3267
  57   1  -67.00  -89.00        0.3267
  58   1  -65.00  -89.00        0.3267
  59   1  -63.00  -89.00        0.3267
  60   1  -61.00  -89.00        0.3267
  61   1  -59.00  -89.00        0.3267
  62   1  -57.00  -89.00        0.3267
  63   1  -55.00  -89.00        0.3267
  64   1  -53.00  -89.00        0.3267
  65   1  -51.00  -89.00        0.3267
  66   1  -49.00  -89.00        0.3267
  67   1  -47.00  -89.00        0.3267
  68   1  -45.00  -89.00        0.3267
  69   1  -43.00  -89.00        0.3267
  70   1  -41.00  -89.00        0.3267
  71   1  -39.00  -89.00        0.3267
  72   1  -37.00  -89.00        0.3267
  73   1  -35.00  -89.00        0.3267
  74   1  -33.00  -89.00        0.3267
  75   1  -31.00  -89.00        0.3267
  76   1  -29.00  -89.00        0.3267
  77   1  -27.00  -89.00        0.3267
  78   1  -25.00  -89.00        0.3267
