_Annual_J-D_1995_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -0.1997
   2   1 -177.00  -89.00       -0.1997
   3   1 -175.00  -89.00       -0.1997
   4   1 -173.00  -89.00       -0.1997
   5   1 -171.00  -89.00       -0.1997
   6   1 -169.00  -89.00       -0.1997
   7   1 -167.00  -89.00       -0.1997
   8   1 -165.00  -89.00       -0.1997
   9   1 -163.00  -89.00       -0.1997
  10   1 -161.00  -89.00       -0.1997
  11   1 -159.00  -89.00       -0.1997
  12   1 -157.00  -89.00       -0.1997
  13   1 -155.00  -89.00       -0.1997
  14   1 -153.00  -89.00       -0.1997
  15   1 -151.00  -89.00       -0.1997
  16   1 -149.00  -89.00       -0.1997
  17   1 -147.00  -89.00       -0.1997
  18   1 -145.00  -89.00       -0.1997
  19   1 -143.00  -89.00       -0.1997
  20   1 -141.00  -89.00       -0.1997
  21   1 -139.00  -89.00       -0.1997
  22   1 -137.00  -89.00       -0.1997
  23   1 -135.00  -89.00       -0.1997
  24   1 -133.00  -89.00       -0.1997
  25   1 -131.00  -89.00       -0.1997
  26   1 -129.00  -89.00       -0.1997
  27   1 -127.00  -89.00       -0.1997
  28   1 -125.00  -89.00       -0.1997
  29   1 -123.00  -89.00       -0.1997
  30   1 -121.00  -89.00       -0.1997
  31   1 -119.00  -89.00       -0.1997
  32   1 -117.00  -89.00       -0.1997
  33   1 -115.00  -89.00       -0.1997
  34   1 -113.00  -89.00       -0.1997
  35   1 -111.00  -89.00       -0.1997
  36   1 -109.00  -89.00       -0.1997
  37   1 -107.00  -89.00       -0.1997
  38   1 -105.00  -89.00       -0.1997
  39   1 -103.00  -89.00       -0.1997
  40   1 -101.00  -89.00       -0.1997
  41   1  -99.00  -89.00       -0.1997
  42   1  -97.00  -89.00       -0.1997
  43   1  -95.00  -89.00       -0.1997
  44   1  -93.00  -89.00       -0.1997
  45   1  -91.00  -89.00       -0.1997
  46   1  -89.00  -89.00       -0.1997
  47   1  -87.00  -89.00       -0.1997
