_Annual_J-D_2015_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -0.4739
   2   1 -177.00  -89.00       -0.4739
   3   1 -175.00  -89.00       -0.4739
   4   1 -173.00  -89.00       -0.4739
   5   1 -171.00  -89.00       -0.4739
   6   1 -169.00  -89.00       -0.4739
   7   1 -167.00  -89.00       -0.4739
   8   1 -165.00  -89.00       -0.4739
   9   1 -163.00  -89.00       -0.4739
  10   1 -161.00  -89.00       -0.4739
  11   1 -159.00  -89.00       -0.4739
  12   1 -157.00  -89.00       -0.4739
  13   1 -155.00  -89.00       -0.4739
  14   1 -153.00  -89.00       -0.4739
  15   1 -151.00  -89.00       -0.4739
  16   1 -149.00  -89.00       -0.4739
  17   1 -147.00  -89.00       -0.4739
  18   1 -145.00  -89.00       -0.4739
  19   1 -143.00  -89.00       -0.4739
  20   1 -141.00  -89.00       -0.4739
  21   1 -139.00  -89.00       -0.4739
  22   1 -137.00  -89.00       -0.4739
  23   1 -135.00  -89.00       -0.4739
  24   1 -133.00  -89.00       -0.4739
  25   1 -131.00  -89.00       -0.4739
  26   1 -129.00  -89.00       -0.4739
  27   1 -127.00  -89.00       -0.4739
  28   1 -125.00  -89.00       -0.4739
  29   1 -123.00  -89.00       -0.4739
  30   1 -121.00  -89.00       -0.4739
  31   1 -119.00  -89.00       -0.4739
  32   1 -117.00  -89.00       -0.4739
  33   1 -115.00  -89.00       -0.4739
  34   1 -113.00  -89.00       -0.4739
  35   1 -111.00  -89.00       -0.4739
  36   1 -109.00  -89.00       -0.4739
  37   1 -107.00  -89.00       -0.4739
  38   1 -105.00  -89.00       -0.4739
  39   1 -103.00  -89.00       -0.4739
  40   1 -101.00  -89.00       -0.4739
  41   1  -99.00  -89.00       -0.4739
  42   1  -97.00  -89.00       -0.4739
  43   1  -95.00  -89.00       -0.4739
  44   1  -93.00  -89.00       -0.4739
  45   1  -91.00  -89.00       -0.4739
  46   1  -89.00  -89.00       -0.4739
  47   1  -87.00  -89.00       -0.4739
  48   1  -85.00  -89.00       -0.4739
  49   1  -83.00  -89.00       -0.4739
  50   1  -81.00  -89.00       -0.4739
  51   1  -79.00  -89.00       -0.4739
  52   1  -77.00  -89.00       -0.4739
  53   1  -75.00  -89.00       -0.4739
  54   1  -73.00  -89.00       -0.4739
  55   1  -71.00  -89.00       -0.4739
  56   1  -69.00  -89.00       -0.4739
  57   1  -67.00  -89.00       -0.4739
