_Annual_J-D_2018_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        1.1528
   2   1 -177.00  -89.00        1.1528
   3   1 -175.00  -89.00        1.1528
   4   1 -173.00  -89.00        1.1528
   5   1 -171.00  -89.00        1.1528
   6   1 -169.00  -89.00        1.1528
   7   1 -167.00  -89.00        1.1528
   8   1 -165.00  -89.00        1.1528
   9   1 -163.00  -89.00        1.1528
  10   1 -161.00  -89.00        1.1528
  11   1 -159.00  -89.00        1.1528
  12   1 -157.00  -89.00        1.1528
  13   1 -155.00  -89.00        1.1528
  14   1 -153.00  -89.00        1.1528
  15   1 -151.00  -89.00        1.1528
  16   1 -149.00  -89.00        1.1528
  17   1 -147.00  -89.00        1.1528
  18   1 -145.00  -89.00        1.1528
  19   1 -143.00  -89.00        1.1528
  20   1 -141.00  -89.00        1.1528
  21   1 -139.00  -89.00        1.1528
  22   1 -137.00  -89.00        1.1528
  23   1 -135.00  -89.00        1.1528
  24   1 -133.00  -89.00        1.1528
  25   1 -131.00  -89.00        1.1528
  26   1 -129.00  -89.00        1.1528
  27   1 -127.00  -89.00        1.1528
  28   1 -125.00  -89.00        1.1528
  29   1 -123.00  -89.00        1.1528
  30   1 -121.00  -89.00        1.1528
  31   1 -119.00  -89.00        1.1528
  32   1 -117.00  -89.00        1.1528
  33   1 -115.00  -89.00        1.1528
  34   1 -113.00  -89.00        1.1528
  35   1 -111.00  -89.00        1.1528
  36   1 -109.00  -89.00        1.1528
  37   1 -107.00  -89.00        1.1528
  38   1 -105.00  -89.00        1.1528
  39   1 -103.00  -89.00        1.1528
  40   1 -101.00  -89.00        1.1528
  41   1  -99.00  -89.00        1.1528
  42   1  -97.00  -89.00        1.1528
  43   1  -95.00  -89.00        1.1528
  44   1  -93.00  -89.00        1.1528
  45   1  -91.00  -89.00        1.1528
  46   1  -89.00  -89.00        1.1528
  47   1  -87.00  -89.00        1.1528
  48   1  -85.00  -89.00        1.1528
  49   1  -83.00  -89.00        1.1528
  50   1  -81.00  -89.00        1.1528
  51   1  -79.00  -89.00        1.1528
  52   1  -77.00  -89.00        1.1528
  53   1  -75.00  -89.00        1.1528
  54   1  -73.00  -89.00        1.1528
  55   1  -71.00  -89.00        1.1528
  56   1  -69.00  -89.00        1.1528
  57   1  -67.00  -89.00        1.1528
  58   1  -65.00  -89.00        1.1528
  59   1  -63.00  -89.00        1.1528
  60   1  -61.00  -89.00        1.1528
  61   1  -59.00  -89.00        1.1528
  62   1  -57.00  -89.00        1.1528
  63   1  -55.00  -89.00        1.1528
  64   1  -53.00  -89.00        1.1528
  65   1  -51.00  -89.00        1.1528
  66   1  -49.00  -89.00        1.1528
  67   1  -47.00  -89.00        1.1528
  68   1  -45.00  -89.00        1.1528
  69   1  -43.00  -89.00        1.1528
  70   1  -41.00  -89.00        1.1528
  71   1  -39.00  -89.00        1.1528
  72   1  -37.00  -89.00        1.1528
  73   1  -35.00  -89.00        1.1528
  74   1  -33.00  -89.00        1.1528
  75   1  -31.00  -89.00        1.1528
  76   1  -29.00  -89.00        1.1528
  77   1  -27.00  -89.00        1.1528
  78   1  -25.00  -89.00        1.1528
  79   1  -23.00  -89.00        1.1528
  80   1  -21.00  -89.00        1.1528
  81   1  -19.00  -89.00        1.1528
  82   1  -17.00  -89.00        1.1528
  83   1  -15.00  -89.00        1.1528
  84   1  -13.00  -89.00        1.1528
  85   1  -11.00  -89.00        1.1528
  86   1   -9.00  -89.00        1.1528
  87   1   -7.00  -89.00        1.1528
  88   1   -5.00  -89.00        1.1528
  89   1   -3.00  -89.00        1.1528
  90   1   -1.00  -89.00        1.1528
  91   1    1.00  -89.00        1.1528
  92   1    3.00  -89.00        1.1528
  93   1    5.00  -89.00        1.1528
  94   1    7.00  -89.00        1.1528
  95   1    9.00  -89.00        1.1528
  96   1   11.00  -89.00        1.1528
  97   1   13.00  -89.00        1.1528
  98   1   15.00  -89.00        1.1528
  99   1   17.00  -89.00        1.1528
 100   1   19.00  -89.00        1.1528
 101   1   21.00  -89.00        1.1528
 102   1   23.00  -89.00        1.1528
 103   1   25.00  -89.00        1.1528
 104   1   27.00  -89.00        1.1528
 105   1   29.00  -89.00        1.1528
 106   1   31.00  -89.00        1.1528
 107   1   33.00  -89.00        1.1528
 108   1   35.00  -89.00        1.1528
 109   1   37.00  -89.00        1.1528
 110   1   39.00  -89.00        1.1528
 111   1   41.00  -89.00        1.1528
 112   1   43.00  -89.00        1.1528
 113   1   45.00  -89.00        1.1528
 114   1   47.00  -89.00        1.1528
 115   1   49.00  -89.00        1.1528
 116   1   51.00  -89.00        1.1528
 117   1   53.00  -89.00        1.1528
 118   1   55.00  -89.00        1.1528
 119   1   57.00  -89.00        1.1528
 120   1   59.00  -89.00        1.1528
 121   1   61.00  -89.00        1.1528
 122   1   63.00  -89.00        1.1528
 123   1   65.00  -89.00        1.1528
 124   1   67.00  -89.00        1.1528
 125   1   69.00  -89.00        1.1528
 126   1   71.00  -89.00        1.1528
 127   1   73.00  -89.00        1.1528
 128   1   75.00  -89.00        1.1528
 129   1   77.00  -89.00        1.1528
 130   1   79.00  -89.00        1.1528
 131   1   81.00  -89.00        1.1528
 132   1   83.00  -89.00        1.1528
 133   1   85.00  -89.00        1.1528
 134   1   87.00  -89.00        1.1528
 135   1   89.00  -89.00        1.1528
 136   1   91.00  -89.00        1.1528
 137   1   93.00  -89.00        1.1528
 138   1   95.00  -89.00        1.1528
 139   1   97.00  -89.00        1.1528
 140   1   99.00  -89.00        1.1528
 141   1  101.00  -89.00        1.1528
 142   1  103.00  -89.00        1.1528
 143   1  105.00  -89.00        1.1528
 144   1  107.00  -89.00        1.1528
 145   1  109.00  -89.00        1.1528
 146   1  111.00  -89.00        1.1528
 147   1  113.00  -89.00        1.1528
 148   1  115.00  -89.00        1.1528
 149   1  117.00  -89.00        1.1528
 150   1  119.00  -89.00        1.1528
 151   1  121.00  -89.00        1.1528
 152   1  123.00  -89.00        1.1528
 153   1  125.00  -89.00        1.1528
 154   1  127.00  -89.00        1.1528
 155   1  129.00  -89.00        1.1528
 156   1  131.00  -89.00        1.1528
 157   1  133.00  -89.00        1.1528
 158   1  135.00  -89.00        1.1528
 159   1  137.00  -89.00        1.1528
 160   1  139.00  -89.00        1.1528
 161   1  141.00  -89.00        1.1528
 162   1  143.00  -89.00        1.1528
 163   1  145.00  -89.00        1.1528
 164   1  147.00  -89.00        1.1528
 165   1  149.00  -89.00        1.1528
 166   1  151.00  -89.00        1.1528
 167   1  153.00  -89.00        1.1528
 168   1  155.00  -89.00        1.1528
 169   1  157.00  -89.00        1.1528
 170   1  159.00  -89.00        1.1528
 171   1  161.00  -89.00        1.1528
 172   1  163.00  -89.00        1.1528
 173   1  165.00  -89.00        1.1528
 174   1  167.00  -89.00        1.1528
 175   1  169.00  -89.00        1.1528
 176   1  171.00  -89.00        1.1528
 177   1  173.00  -89.00        1.1528
 178   1  175.00  -89.00        1.1528
 179   1  177.00  -89.00        1.1528
 180   1  179.00  -89.00        1.1528
   1   2 -179.00  -87.00        1.1528
   2   2 -177.00  -87.00        1.1528
   3   2 -175.00  -87.00        1.1528
   4   2 -173.00  -87.00        1.1528
   5   2 -171.00  -87.00        1.1528
   6   2 -169.00  -87.00        1.1528
   7   2 -167.00  -87.00        1.1528
   8   2 -165.00  -87.00        1.1528
   9   2 -163.00  -87.00        1.1528
  10   2 -161.00  -87.00        1.1528
  11   2 -159.00  -87.00        1.1528
  12   2 -157.00  -87.00        1.1528
  13   2 -155.00  -87.00        1.1528
  14   2 -153.00  -87.00        1.1528
  15   2 -151.00  -87.00        1.1528
  16   2 -149.00  -87.00        1.1528
  17   2 -147.00  -87.00        1.1528
  18   2 -145.00  -87.00        1.1528
  19   2 -143.00  -87.00        1.1528
  20   2 -141.00  -87.00        1.1528
  21   2 -139.00  -87.00        1.1528
  22   2 -137.00  -87.00        1.1528
  23   2 -135.00  -87.00        1.1528
  24   2 -133.00  -87.00        1.1528
  25   2 -131.00  -87.00        1.1528
  26   2 -129.00  -87.00        1.1528
  27   2 -127.00  -87.00        1.1528
  28   2 -125.00  -87.00        1.1528
  29   2 -123.00  -87.00        1.1528
  30   2 -121.00  -87.00        1.1528
  31   2 -119.00  -87.00        1.1528
  32   2 -117.00  -87.00        1.1528
  33   2 -115.00  -87.00        1.1528
  34   2 -113.00  -87.00        1.1528
  35   2 -111.00  -87.00        1.1528
  36   2 -109.00  -87.00        1.1528
  37   2 -107.00  -87.00        1.1528
  38   2 -105.00  -87.00        1.1528
  39   2 -103.00  -87.00        1.1528
  40   2 -101.00  -87.00        1.1528
  41   2  -99.00  -87.00        1.1528
  42   2  -97.00  -87.00        1.1528
  43   2  -95.00  -87.00        1.1528
  44   2  -93.00  -87.00        1.1528
  45   2  -91.00  -87.00        1.1528
  46   2  -89.00  -87.00        1.1528
  47   2  -87.00  -87.00        1.1528
  48   2  -85.00  -87.00        1.1528
  49   2  -83.00  -87.00        1.1528
  50   2  -81.00  -87.00        1.1528
  51   2  -79.00  -87.00        1.1528
  52   2  -77.00  -87.00        1.1528
  53   2  -75.00  -87.00        1.1528
  54   2  -73.00  -87.00        1.1528
  55   2  -71.00  -87.00        1.1528
  56   2  -69.00  -87.00        1.1528
  57   2  -67.00  -87.00        1.1528
  58   2  -65.00  -87.00        1.1528
  59   2  -63.00  -87.00        1.1528
  60   2  -61.00  -87.00        1.1528
  61   2  -59.00  -87.00        1.1528
  62   2  -57.00  -87.00        1.1528
  63   2  -55.00  -87.00        1.1528
  64   2  -53.00  -87.00        1.1528
  65   2  -51.00  -87.00        1.1528
  66   2  -49.00  -87.00        1.1528
  67   2  -47.00  -87.00        1.1528
  68   2  -45.00  -87.00        1.1528
  69   2  -43.00  -87.00        1.1528
  70   2  -41.00  -87.00        1.1528
  71   2  -39.00  -87.00        1.1528
