_Annual_J-D_2010_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.2862
   2   1 -177.00  -89.00        0.2862
   3   1 -175.00  -89.00        0.2862
   4   1 -173.00  -89.00        0.2862
   5   1 -171.00  -89.00        0.2862
   6   1 -169.00  -89.00        0.2862
   7   1 -167.00  -89.00        0.2862
   8   1 -165.00  -89.00        0.2862
   9   1 -163.00  -89.00        0.2862
  10   1 -161.00  -89.00        0.2862
  11   1 -159.00  -89.00        0.2862
  12   1 -157.00  -89.00        0.2862
  13   1 -155.00  -89.00        0.2862
  14   1 -153.00  -89.00        0.2862
  15   1 -151.00  -89.00        0.2862
  16   1 -149.00  -89.00        0.2862
  17   1 -147.00  -89.00        0.2862
  18   1 -145.00  -89.00        0.2862
  19   1 -143.00  -89.00        0.2862
  20   1 -141.00  -89.00        0.2862
  21   1 -139.00  -89.00        0.2862
  22   1 -137.00  -89.00        0.2862
  23   1 -135.00  -89.00        0.2862
  24   1 -133.00  -89.00        0.2862
  25   1 -131.00  -89.00        0.2862
  26   1 -129.00  -89.00        0.2862
  27   1 -127.00  -89.00        0.2862
  28   1 -125.00  -89.00        0.2862
  29   1 -123.00  -89.00        0.2862
  30   1 -121.00  -89.00        0.2862
  31   1 -119.00  -89.00        0.2862
  32   1 -117.00  -89.00        0.2862
  33   1 -115.00  -89.00        0.2862
  34   1 -113.00  -89.00        0.2862
  35   1 -111.00  -89.00        0.2862
  36   1 -109.00  -89.00        0.2862
  37   1 -107.00  -89.00        0.2862
  38   1 -105.00  -89.00        0.2862
  39   1 -103.00  -89.00        0.2862
  40   1 -101.00  -89.00        0.2862
  41   1  -99.00  -89.00        0.2862
  42   1  -97.00  -89.00        0.2862
  43   1  -95.00  -89.00        0.2862
  44   1  -93.00  -89.00        0.2862
  45   1  -91.00  -89.00        0.2862
  46   1  -89.00  -89.00        0.2862
  47   1  -87.00  -89.00        0.2862
  48   1  -85.00  -89.00        0.2862
  49   1  -83.00  -89.00        0.2862
  50   1  -81.00  -89.00        0.2862
  51   1  -79.00  -89.00        0.2862
  52   1  -77.00  -89.00        0.2862
  53   1  -75.00  -89.00        0.2862
  54   1  -73.00  -89.00        0.2862
  55   1  -71.00  -89.00        0.2862
  56   1  -69.00  -89.00        0.2862
  57   1  -67.00  -89.00        0.2862
  58   1  -65.00  -89.00        0.2862
  59   1  -63.00  -89.00        0.2862
  60   1  -61.00  -89.00        0.2862
  61   1  -59.00  -89.00        0.2862
  62   1  -57.00  -89.00        0.2862
  63   1  -55.00  -89.00        0.2862
  64   1  -53.00  -89.00        0.2862
  65   1  -51.00  -89.00        0.2862
  66   1  -49.00  -89.00        0.2862
