_Annual_J-D_1991_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.5830
   2   1 -177.00  -89.00        0.5830
   3   1 -175.00  -89.00        0.5830
   4   1 -173.00  -89.00        0.5830
   5   1 -171.00  -89.00        0.5830
   6   1 -169.00  -89.00        0.5830
   7   1 -167.00  -89.00        0.5830
   8   1 -165.00  -89.00        0.5830
   9   1 -163.00  -89.00        0.5830
  10   1 -161.00  -89.00        0.5830
  11   1 -159.00  -89.00        0.5830
  12   1 -157.00  -89.00        0.5830
  13   1 -155.00  -89.00        0.5830
  14   1 -153.00  -89.00        0.5830
  15   1 -151.00  -89.00        0.5830
  16   1 -149.00  -89.00        0.5830
  17   1 -147.00  -89.00        0.5830
  18   1 -145.00  -89.00        0.5830
  19   1 -143.00  -89.00        0.5830
  20   1 -141.00  -89.00        0.5830
  21   1 -139.00  -89.00        0.5830
  22   1 -137.00  -89.00        0.5830
  23   1 -135.00  -89.00        0.5830
  24   1 -133.00  -89.00        0.5830
  25   1 -131.00  -89.00        0.5830
  26   1 -129.00  -89.00        0.5830
  27   1 -127.00  -89.00        0.5830
  28   1 -125.00  -89.00        0.5830
  29   1 -123.00  -89.00        0.5830
  30   1 -121.00  -89.00        0.5830
  31   1 -119.00  -89.00        0.5830
  32   1 -117.00  -89.00        0.5830
  33   1 -115.00  -89.00        0.5830
  34   1 -113.00  -89.00        0.5830
  35   1 -111.00  -89.00        0.5830
  36   1 -109.00  -89.00        0.5830
  37   1 -107.00  -89.00        0.5830
  38   1 -105.00  -89.00        0.5830
  39   1 -103.00  -89.00        0.5830
  40   1 -101.00  -89.00        0.5830
  41   1  -99.00  -89.00        0.5830
  42   1  -97.00  -89.00        0.5830
  43   1  -95.00  -89.00        0.5830
  44   1  -93.00  -89.00        0.5830
  45   1  -91.00  -89.00        0.5830
  46   1  -89.00  -89.00        0.5830
  47   1  -87.00  -89.00        0.5830
  48   1  -85.00  -89.00        0.5830
  49   1  -83.00  -89.00        0.5830
  50   1  -81.00  -89.00        0.5830
  51   1  -79.00  -89.00        0.5830
  52   1  -77.00  -89.00        0.5830
  53   1  -75.00  -89.00        0.5830
  54   1  -73.00  -89.00        0.5830
  55   1  -71.00  -89.00        0.5830
  56   1  -69.00  -89.00        0.5830
  57   1  -67.00  -89.00        0.5830
  58   1  -65.00  -89.00        0.5830
  59   1  -63.00  -89.00        0.5830
  60   1  -61.00  -89.00        0.5830
  61   1  -59.00  -89.00        0.5830
  62   1  -57.00  -89.00        0.5830
  63   1  -55.00  -89.00        0.5830
  64   1  -53.00  -89.00        0.5830
  65   1  -51.00  -89.00        0.5830
  66   1  -49.00  -89.00        0.5830
  67   1  -47.00  -89.00        0.5830
  68   1  -45.00  -89.00        0.5830
  69   1  -43.00  -89.00        0.5830
  70   1  -41.00  -89.00        0.5830
  71   1  -39.00  -89.00        0.5830
  72   1  -37.00  -89.00        0.5830
  73   1  -35.00  -89.00        0.5830
  74   1  -33.00  -89.00        0.5830
  75   1  -31.00  -89.00        0.5830
  76   1  -29.00  -89.00        0.5830
  77   1  -27.00  -89.00        0.5830
  78   1  -25.00  -89.00        0.5830
  79   1  -23.00  -89.00        0.5830
  80   1  -21.00  -89.00        0.5830
  81   1  -19.00  -89.00        0.5830
  82   1  -17.00  -89.00        0.5830
  83   1  -15.00  -89.00        0.5830
  84   1  -13.00  -89.00        0.5830
  85   1  -11.00  -89.00        0.5830
  86   1   -9.00  -89.00        0.5830
  87   1   -7.00  -89.00        0.5830
  88   1   -5.00  -89.00        0.5830
  89   1   -3.00  -89.00        0.5830
  90   1   -1.00  -89.00        0.5830
  91   1    1.00  -89.00        0.5830
  92   1    3.00  -89.00        0.5830
  93   1    5.00  -89.00        0.5830
  94   1    7.00  -89.00        0.5830
  95   1    9.00  -89.00        0.5830
  96   1   11.00  -89.00        0.5830
