_Annual_J-D_2019_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.6884
   2   1 -177.00  -89.00        0.6884
   3   1 -175.00  -89.00        0.6884
   4   1 -173.00  -89.00        0.6884
   5   1 -171.00  -89.00        0.6884
   6   1 -169.00  -89.00        0.6884
   7   1 -167.00  -89.00        0.6884
   8   1 -165.00  -89.00        0.6884
   9   1 -163.00  -89.00        0.6884
  10   1 -161.00  -89.00        0.6884
  11   1 -159.00  -89.00        0.6884
  12   1 -157.00  -89.00        0.6884
  13   1 -155.00  -89.00        0.6884
  14   1 -153.00  -89.00        0.6884
  15   1 -151.00  -89.00        0.6884
  16   1 -149.00  -89.00        0.6884
  17   1 -147.00  -89.00        0.6884
  18   1 -145.00  -89.00        0.6884
  19   1 -143.00  -89.00        0.6884
  20   1 -141.00  -89.00        0.6884
  21   1 -139.00  -89.00        0.6884
  22   1 -137.00  -89.00        0.6884
  23   1 -135.00  -89.00        0.6884
  24   1 -133.00  -89.00        0.6884
  25   1 -131.00  -89.00        0.6884
  26   1 -129.00  -89.00        0.6884
  27   1 -127.00  -89.00        0.6884
  28   1 -125.00  -89.00        0.6884
  29   1 -123.00  -89.00        0.6884
  30   1 -121.00  -89.00        0.6884
  31   1 -119.00  -89.00        0.6884
  32   1 -117.00  -89.00        0.6884
  33   1 -115.00  -89.00        0.6884
  34   1 -113.00  -89.00        0.6884
  35   1 -111.00  -89.00        0.6884
  36   1 -109.00  -89.00        0.6884
  37   1 -107.00  -89.00        0.6884
  38   1 -105.00  -89.00        0.6884
  39   1 -103.00  -89.00        0.6884
  40   1 -101.00  -89.00        0.6884
  41   1  -99.00  -89.00        0.6884
  42   1  -97.00  -89.00        0.6884
  43   1  -95.00  -89.00        0.6884
  44   1  -93.00  -89.00        0.6884
  45   1  -91.00  -89.00        0.6884
  46   1  -89.00  -89.00        0.6884
  47   1  -87.00  -89.00        0.6884
  48   1  -85.00  -89.00        0.6884
  49   1  -83.00  -89.00        0.6884
  50   1  -81.00  -89.00        0.6884
  51   1  -79.00  -89.00        0.6884
  52   1  -77.00  -89.00        0.6884
  53   1  -75.00  -89.00        0.6884
  54   1  -73.00  -89.00        0.6884
  55   1  -71.00  -89.00        0.6884
  56   1  -69.00  -89.00        0.6884
  57   1  -67.00  -89.00        0.6884
  58   1  -65.00  -89.00        0.6884
  59   1  -63.00  -89.00        0.6884
  60   1  -61.00  -89.00        0.6884
  61   1  -59.00  -89.00        0.6884
  62   1  -57.00  -89.00        0.6884
  63   1  -55.00  -89.00        0.6884
  64   1  -53.00  -89.00        0.6884
  65   1  -51.00  -89.00        0.6884
  66   1  -49.00  -89.00        0.6884
  67   1  -47.00  -89.00        0.6884
  68   1  -45.00  -89.00        0.6884
  69   1  -43.00  -89.00        0.6884
  70   1  -41.00  -89.00        0.6884
  71   1  -39.00  -89.00        0.6884
  72   1  -37.00  -89.00        0.6884
  73   1  -35.00  -89.00        0.6884
  74   1  -33.00  -89.00        0.6884
  75   1  -31.00  -89.00        0.6884
  76   1  -29.00  -89.00        0.6884
  77   1  -27.00  -89.00        0.6884
