_Annual_J-D_2006_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -0.5185
   2   1 -177.00  -89.00       -0.5185
   3   1 -175.00  -89.00       -0.5185
   4   1 -173.00  -89.00       -0.5185
   5   1 -171.00  -89.00       -0.5185
   6   1 -169.00  -89.00       -0.5185
   7   1 -167.00  -89.00       -0.5185
   8   1 -165.00  -89.00       -0.5185
   9   1 -163.00  -89.00       -0.5185
  10   1 -161.00  -89.00       -0.5185
  11   1 -159.00  -89.00       -0.5185
  12   1 -157.00  -89.00       -0.5185
  13   1 -155.00  -89.00       -0.5185
  14   1 -153.00  -89.00       -0.5185
  15   1 -151.00  -89.00       -0.5185
  16   1 -149.00  -89.00       -0.5185
  17   1 -147.00  -89.00       -0.5185
  18   1 -145.00  -89.00       -0.5185
  19   1 -143.00  -89.00       -0.5185
  20   1 -141.00  -89.00       -0.5185
  21   1 -139.00  -89.00       -0.5185
  22   1 -137.00  -89.00       -0.5185
  23   1 -135.00  -89.00       -0.5185
  24   1 -133.00  -89.00       -0.5185
  25   1 -131.00  -89.00       -0.5185
  26   1 -129.00  -89.00       -0.5185
  27   1 -127.00  -89.00       -0.5185
  28   1 -125.00  -89.00       -0.5185
  29   1 -123.00  -89.00       -0.5185
  30   1 -121.00  -89.00       -0.5185
  31   1 -119.00  -89.00       -0.5185
  32   1 -117.00  -89.00       -0.5185
  33   1 -115.00  -89.00       -0.5185
  34   1 -113.00  -89.00       -0.5185
  35   1 -111.00  -89.00       -0.5185
  36   1 -109.00  -89.00       -0.5185
  37   1 -107.00  -89.00       -0.5185
  38   1 -105.00  -89.00       -0.5185
  39   1 -103.00  -89.00       -0.5185
  40   1 -101.00  -89.00       -0.5185
  41   1  -99.00  -89.00       -0.5185
  42   1  -97.00  -89.00       -0.5185
  43   1  -95.00  -89.00       -0.5185
  44   1  -93.00  -89.00       -0.5185
  45   1  -91.00  -89.00       -0.5185
  46   1  -89.00  -89.00       -0.5185
  47   1  -87.00  -89.00       -0.5185
  48   1  -85.00  -89.00       -0.5185
  49   1  -83.00  -89.00       -0.5185
  50   1  -81.00  -89.00       -0.5185
  51   1  -79.00  -89.00       -0.5185
  52   1  -77.00  -89.00       -0.5185
  53   1  -75.00  -89.00       -0.5185
  54   1  -73.00  -89.00       -0.5185
  55   1  -71.00  -89.00       -0.5185
  56   1  -69.00  -89.00       -0.5185
  57   1  -67.00  -89.00       -0.5185
  58   1  -65.00  -89.00       -0.5185
  59   1  -63.00  -89.00       -0.5185
  60   1  -61.00  -89.00       -0.5185
  61   1  -59.00  -89.00       -0.5185
  62   1  -57.00  -89.00       -0.5185
  63   1  -55.00  -89.00       -0.5185
  64   1  -53.00  -89.00       -0.5185
  65   1  -51.00  -89.00       -0.5185
  66   1  -49.00  -89.00       -0.5185
  67   1  -47.00  -89.00       -0.5185
  68   1  -45.00  -89.00       -0.5185
  69   1  -43.00  -89.00       -0.5185
  70   1  -41.00  -89.00       -0.5185
  71   1  -39.00  -89.00       -0.5185
  72   1  -37.00  -89.00       -0.5185
  73   1  -35.00  -89.00       -0.5185
  74   1  -33.00  -89.00       -0.5185
  75   1  -31.00  -89.00       -0.5185
  76   1  -29.00  -89.00       -0.5185
  77   1  -27.00  -89.00       -0.5185
  78   1  -25.00  -89.00       -0.5185
  79   1  -23.00  -89.00       -0.5185
  80   1  -21.00  -89.00       -0.5185
  81   1  -19.00  -89.00       -0.5185
  82   1  -17.00  -89.00       -0.5185
  83   1  -15.00  -89.00       -0.5185
  84   1  -13.00  -89.00       -0.5185
  85   1  -11.00  -89.00       -0.5185
  86   1   -9.00  -89.00       -0.5185
  87   1   -7.00  -89.00       -0.5185
  88   1   -5.00  -89.00       -0.5185
  89   1   -3.00  -89.00       -0.5185
  90   1   -1.00  -89.00       -0.5185
  91   1    1.00  -89.00       -0.5185
  92   1    3.00  -89.00       -0.5185
  93   1    5.00  -89.00       -0.5185
  94   1    7.00  -89.00       -0.5185
  95   1    9.00  -89.00       -0.5185
  96   1   11.00  -89.00       -0.5185
  97   1   13.00  -89.00       -0.5185
  98   1   15.00  -89.00       -0.5185
  99   1   17.00  -89.00       -0.5185
 100   1   19.00  -89.00       -0.5185
 101   1   21.00  -89.00       -0.5185
 102   1   23.00  -89.00       -0.5185
 103   1   25.00  -89.00       -0.5185
 104   1   27.00  -89.00       -0.5185
 105   1   29.00  -89.00       -0.5185
 106   1   31.00  -89.00       -0.5185
 107   1   33.00  -89.00       -0.5185
 108   1   35.00  -89.00       -0.5185
 109   1   37.00  -89.00       -0.5185
 110   1   39.00  -89.00       -0.5185
 111   1   41.00  -89.00       -0.5185
 112   1   43.00  -89.00       -0.5185
 113   1   45.00  -89.00       -0.5185
 114   1   47.00  -89.00       -0.5185
 115   1   49.00  -89.00       -0.5185
 116   1   51.00  -89.00       -0.5185
 117   1   53.00  -89.00       -0.5185
 118   1   55.00  -89.00       -0.5185
 119   1   57.00  -89.00       -0.5185
 120   1   59.00  -89.00       -0.5185
 121   1   61.00  -89.00       -0.5185
 122   1   63.00  -89.00       -0.5185
 123   1   65.00  -89.00       -0.5185
 124   1   67.00  -89.00       -0.5185
 125   1   69.00  -89.00       -0.5185
 126   1   71.00  -89.00       -0.5185
 127   1   73.00  -89.00       -0.5185
 128   1   75.00  -89.00       -0.5185
 129   1   77.00  -89.00       -0.5185
 130   1   79.00  -89.00       -0.5185
 131   1   81.00  -89.00       -0.5185
 132   1   83.00  -89.00       -0.5185
 133   1   85.00  -89.00       -0.5185
 134   1   87.00  -89.00       -0.5185
 135   1   89.00  -89.00       -0.5185
 136   1   91.00  -89.00       -0.5185
 137   1   93.00  -89.00       -0.5185
 138   1   95.00  -89.00       -0.5185
 139   1   97.00  -89.00       -0.5185
 140   1   99.00  -89.00       -0.5185
 141   1  101.00  -89.00       -0.5185
