_Annual_J-D_2014_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.8376
   2   1 -177.00  -89.00        0.8376
   3   1 -175.00  -89.00        0.8376
   4   1 -173.00  -89.00        0.8376
   5   1 -171.00  -89.00        0.8376
   6   1 -169.00  -89.00        0.8376
   7   1 -167.00  -89.00        0.8376
   8   1 -165.00  -89.00        0.8376
   9   1 -163.00  -89.00        0.8376
  10   1 -161.00  -89.00        0.8376
  11   1 -159.00  -89.00        0.8376
  12   1 -157.00  -89.00        0.8376
  13   1 -155.00  -89.00        0.8376
  14   1 -153.00  -89.00        0.8376
  15   1 -151.00  -89.00        0.8376
  16   1 -149.00  -89.00        0.8376
  17   1 -147.00  -89.00        0.8376
  18   1 -145.00  -89.00        0.8376
  19   1 -143.00  -89.00        0.8376
  20   1 -141.00  -89.00        0.8376
  21   1 -139.00  -89.00        0.8376
  22   1 -137.00  -89.00        0.8376
  23   1 -135.00  -89.00        0.8376
  24   1 -133.00  -89.00        0.8376
  25   1 -131.00  -89.00        0.8376
  26   1 -129.00  -89.00        0.8376
  27   1 -127.00  -89.00        0.8376
  28   1 -125.00  -89.00        0.8376
  29   1 -123.00  -89.00        0.8376
  30   1 -121.00  -89.00        0.8376
  31   1 -119.00  -89.00        0.8376
  32   1 -117.00  -89.00        0.8376
  33   1 -115.00  -89.00        0.8376
  34   1 -113.00  -89.00        0.8376
  35   1 -111.00  -89.00        0.8376
  36   1 -109.00  -89.00        0.8376
  37   1 -107.00  -89.00        0.8376
  38   1 -105.00  -89.00        0.8376
  39   1 -103.00  -89.00        0.8376
  40   1 -101.00  -89.00        0.8376
  41   1  -99.00  -89.00        0.8376
  42   1  -97.00  -89.00        0.8376
  43   1  -95.00  -89.00        0.8376
  44   1  -93.00  -89.00        0.8376
  45   1  -91.00  -89.00        0.8376
  46   1  -89.00  -89.00        0.8376
  47   1  -87.00  -89.00        0.8376
  48   1  -85.00  -89.00        0.8376
  49   1  -83.00  -89.00        0.8376
  50   1  -81.00  -89.00        0.8376
  51   1  -79.00  -89.00        0.8376
  52   1  -77.00  -89.00        0.8376
  53   1  -75.00  -89.00        0.8376
  54   1  -73.00  -89.00        0.8376
  55   1  -71.00  -89.00        0.8376
  56   1  -69.00  -89.00        0.8376
  57   1  -67.00  -89.00        0.8376
  58   1  -65.00  -89.00        0.8376
  59   1  -63.00  -89.00        0.8376
  60   1  -61.00  -89.00        0.8376
  61   1  -59.00  -89.00        0.8376
  62   1  -57.00  -89.00        0.8376
  63   1  -55.00  -89.00        0.8376
  64   1  -53.00  -89.00        0.8376
  65   1  -51.00  -89.00        0.8376
  66   1  -49.00  -89.00        0.8376
  67   1  -47.00  -89.00        0.8376
  68   1  -45.00  -89.00        0.8376
  69   1  -43.00  -89.00        0.8376
  70   1  -41.00  -89.00        0.8376
  71   1  -39.00  -89.00        0.8376
  72   1  -37.00  -89.00        0.8376
  73   1  -35.00  -89.00        0.8376
  74   1  -33.00  -89.00        0.8376
  75   1  -31.00  -89.00        0.8376
  76   1  -29.00  -89.00        0.8376
  77   1  -27.00  -89.00        0.8376
  78   1  -25.00  -89.00        0.8376
  79   1  -23.00  -89.00        0.8376
  80   1  -21.00  -89.00        0.8376
  81   1  -19.00  -89.00        0.8376
  82   1  -17.00  -89.00        0.8376
  83   1  -15.00  -89.00        0.8376
  84   1  -13.00  -89.00        0.8376
  85   1  -11.00  -89.00        0.8376
  86   1   -9.00  -89.00        0.8376
  87   1   -7.00  -89.00        0.8376
  88   1   -5.00  -89.00        0.8376
  89   1   -3.00  -89.00        0.8376
  90   1   -1.00  -89.00        0.8376
  91   1    1.00  -89.00        0.8376
  92   1    3.00  -89.00        0.8376
  93   1    5.00  -89.00        0.8376
  94   1    7.00  -89.00        0.8376
  95   1    9.00  -89.00        0.8376
  96   1   11.00  -89.00        0.8376
  97   1   13.00  -89.00        0.8376
  98   1   15.00  -89.00        0.8376
  99   1   17.00  -89.00        0.8376
 100   1   19.00  -89.00        0.8376
 101   1   21.00  -89.00        0.8376
 102   1   23.00  -89.00        0.8376
 103   1   25.00  -89.00        0.8376
 104   1   27.00  -89.00        0.8376
 105   1   29.00  -89.00        0.8376
 106   1   31.00  -89.00        0.8376
 107   1   33.00  -89.00        0.8376
 108   1   35.00  -89.00        0.8376
 109   1   37.00  -89.00        0.8376
 110   1   39.00  -89.00        0.8376
 111   1   41.00  -89.00        0.8376
 112   1   43.00  -89.00        0.8376
 113   1   45.00  -89.00        0.8376
 114   1   47.00  -89.00        0.8376
 115   1   49.00  -89.00        0.8376
 116   1   51.00  -89.00        0.8376
 117   1   53.00  -89.00        0.8376
 118   1   55.00  -89.00        0.8376
 119   1   57.00  -89.00        0.8376
 120   1   59.00  -89.00        0.8376
 121   1   61.00  -89.00        0.8376
 122   1   63.00  -89.00        0.8376
 123   1   65.00  -89.00        0.8376
 124   1   67.00  -89.00        0.8376
 125   1   69.00  -89.00        0.8376
 126   1   71.00  -89.00        0.8376
 127   1   73.00  -89.00        0.8376
 128   1   75.00  -89.00        0.8376
 129   1   77.00  -89.00        0.8376
 130   1   79.00  -89.00        0.8376
 131   1   81.00  -89.00        0.8376
 132   1   83.00  -89.00        0.8376
 133   1   85.00  -89.00        0.8376
 134   1   87.00  -89.00        0.8376
 135   1   89.00  -89.00        0.8376
 136   1   91.00  -89.00        0.8376
 137   1   93.00  -89.00        0.8376
 138   1   95.00  -89.00        0.8376
 139   1   97.00  -89.00        0.8376
 140   1   99.00  -89.00        0.8376
 141   1  101.00  -89.00        0.8376
 142   1  103.00  -89.00        0.8376
 143   1  105.00  -89.00        0.8376
 144   1  107.00  -89.00        0.8376
 145   1  109.00  -89.00        0.8376
 146   1  111.00  -89.00        0.8376
 147   1  113.00  -89.00        0.8376
 148   1  115.00  -89.00        0.8376
 149   1  117.00  -89.00        0.8376
 150   1  119.00  -89.00        0.8376
 151   1  121.00  -89.00        0.8376
 152   1  123.00  -89.00        0.8376
 153   1  125.00  -89.00        0.8376
 154   1  127.00  -89.00        0.8376
 155   1  129.00  -89.00        0.8376
 156   1  131.00  -89.00        0.8376
 157   1  133.00  -89.00        0.8376
 158   1  135.00  -89.00        0.8376
 159   1  137.00  -89.00        0.8376
 160   1  139.00  -89.00        0.8376
 161   1  141.00  -89.00        0.8376
 162   1  143.00  -89.00        0.8376
 163   1  145.00  -89.00        0.8376
 164   1  147.00  -89.00        0.8376
 165   1  149.00  -89.00        0.8376
 166   1  151.00  -89.00        0.8376
 167   1  153.00  -89.00        0.8376
 168   1  155.00  -89.00        0.8376
 169   1  157.00  -89.00        0.8376
 170   1  159.00  -89.00        0.8376
 171   1  161.00  -89.00        0.8376
 172   1  163.00  -89.00        0.8376
 173   1  165.00  -89.00        0.8376
 174   1  167.00  -89.00        0.8376
 175   1  169.00  -89.00        0.8376
 176   1  171.00  -89.00        0.8376
 177   1  173.00  -89.00        0.8376
 178   1  175.00  -89.00        0.8376
 179   1  177.00  -89.00        0.8376
 180   1  179.00  -89.00        0.8376
   1   2 -179.00  -87.00        0.8376
   2   2 -177.00  -87.00        0.8376
   3   2 -175.00  -87.00        0.8376
   4   2 -173.00  -87.00        0.8376
   5   2 -171.00  -87.00        0.8376
   6   2 -169.00  -87.00        0.8376
   7   2 -167.00  -87.00        0.8376
   8   2 -165.00  -87.00        0.8376
   9   2 -163.00  -87.00        0.8376
  10   2 -161.00  -87.00        0.8376
  11   2 -159.00  -87.00        0.8376
  12   2 -157.00  -87.00        0.8376
  13   2 -155.00  -87.00        0.8376
  14   2 -153.00  -87.00        0.8376
  15   2 -151.00  -87.00        0.8376
  16   2 -149.00  -87.00        0.8376
  17   2 -147.00  -87.00        0.8376
  18   2 -145.00  -87.00        0.8376
  19   2 -143.00  -87.00        0.8376
  20   2 -141.00  -87.00        0.8376
  21   2 -139.00  -87.00        0.8376
  22   2 -137.00  -87.00        0.8376
  23   2 -135.00  -87.00        0.8376
  24   2 -133.00  -87.00        0.8376
  25   2 -131.00  -87.00        0.8376
  26   2 -129.00  -87.00        0.8376
  27   2 -127.00  -87.00        0.8376
  28   2 -125.00  -87.00        0.8376
  29   2 -123.00  -87.00        0.8376
  30   2 -121.00  -87.00        0.8376
  31   2 -119.00  -87.00        0.8376
  32   2 -117.00  -87.00        0.8376
  33   2 -115.00  -87.00        0.8376
  34   2 -113.00  -87.00        0.8376
  35   2 -111.00  -87.00        0.8376
  36   2 -109.00  -87.00        0.8376
  37   2 -107.00  -87.00        0.8376
  38   2 -105.00  -87.00        0.8376
  39   2 -103.00  -87.00        0.8376
  40   2 -101.00  -87.00        0.8376
  41   2  -99.00  -87.00        0.8376
  42   2  -97.00  -87.00        0.8376
  43   2  -95.00  -87.00        0.8376
  44   2  -93.00  -87.00        0.8376
  45   2  -91.00  -87.00        0.8376
  46   2  -89.00  -87.00        0.8376
  47   2  -87.00  -87.00        0.8376
  48   2  -85.00  -87.00        0.8376
  49   2  -83.00  -87.00        0.8376
  50   2  -81.00  -87.00        0.8376
  51   2  -79.00  -87.00        0.8376
  52   2  -77.00  -87.00        0.8376
  53   2  -75.00  -87.00        0.8376
  54   2  -73.00  -87.00        0.8376
  55   2  -71.00  -87.00        0.8376
  56   2  -69.00  -87.00        0.8376
  57   2  -67.00  -87.00        0.8376
  58   2  -65.00  -87.00        0.8376
  59   2  -63.00  -87.00        0.8376
  60   2  -61.00  -87.00        0.8376
  61   2  -59.00  -87.00        0.8376
  62   2  -57.00  -87.00        0.8376
  63   2  -55.00  -87.00        0.8376
  64   2  -53.00  -87.00        0.8376
  65   2  -51.00  -87.00        0.8376
  66   2  -49.00  -87.00        0.8376
  67   2  -47.00  -87.00        0.8376
  68   2  -45.00  -87.00        0.8376
  69   2  -43.00  -87.00        0.8376
  70   2  -41.00  -87.00        0.8376
  71   2  -39.00  -87.00        0.8376
  72   2  -37.00  -87.00        0.8376
  73   2  -35.00  -87.00        0.8376
  74   2  -33.00  -87.00        0.8376
  75   2  -31.00  -87.00        0.8376
  76   2  -29.00  -87.00        0.8376
  77   2  -27.00  -87.00        0.8376
  78   2  -25.00  -87.00        0.8376
  79   2  -23.00  -87.00        0.8376
  80   2  -21.00  -87.00        0.8376
  81   2  -19.00  -87.00        0.8376
  82   2  -17.00  -87.00        0.8376
  83   2  -15.00  -87.00        0.8376
  84   2  -13.00  -87.00        0.8376
  85   2  -11.00  -87.00        0.8376
  86   2   -9.00  -87.00        0.8376
  87   2   -7.00  -87.00        0.8376
  88   2   -5.00  -87.00        0.8376
  89   2   -3.00  -87.00        0.8376
  90   2   -1.00  -87.00        0.8376
  91   2    1.00  -87.00        0.8376
  92   2    3.00  -87.00        0.8376
  93   2    5.00  -87.00        0.8376
  94   2    7.00  -87.00        0.8376
  95   2    9.00  -87.00        0.8376
  96   2   11.00  -87.00        0.8376
  97   2   13.00  -87.00        0.8376
  98   2   15.00  -87.00        0.8376
  99   2   17.00  -87.00        0.8376
 100   2   19.00  -87.00        0.8376
