_Annual_J-D_2011_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        1.2363
   2   1 -177.00  -89.00        1.2363
   3   1 -175.00  -89.00        1.2363
   4   1 -173.00  -89.00        1.2363
   5   1 -171.00  -89.00        1.2363
   6   1 -169.00  -89.00        1.2363
   7   1 -167.00  -89.00        1.2363
   8   1 -165.00  -89.00        1.2363
   9   1 -163.00  -89.00        1.2363
  10   1 -161.00  -89.00        1.2363
  11   1 -159.00  -89.00        1.2363
  12   1 -157.00  -89.00        1.2363
  13   1 -155.00  -89.00        1.2363
  14   1 -153.00  -89.00        1.2363
  15   1 -151.00  -89.00        1.2363
  16   1 -149.00  -89.00        1.2363
  17   1 -147.00  -89.00        1.2363
  18   1 -145.00  -89.00        1.2363
  19   1 -143.00  -89.00        1.2363
  20   1 -141.00  -89.00        1.2363
  21   1 -139.00  -89.00        1.2363
  22   1 -137.00  -89.00        1.2363
  23   1 -135.00  -89.00        1.2363
  24   1 -133.00  -89.00        1.2363
  25   1 -131.00  -89.00        1.2363
  26   1 -129.00  -89.00        1.2363
  27   1 -127.00  -89.00        1.2363
  28   1 -125.00  -89.00        1.2363
  29   1 -123.00  -89.00        1.2363
  30   1 -121.00  -89.00        1.2363
  31   1 -119.00  -89.00        1.2363
  32   1 -117.00  -89.00        1.2363
  33   1 -115.00  -89.00        1.2363
  34   1 -113.00  -89.00        1.2363
  35   1 -111.00  -89.00        1.2363
  36   1 -109.00  -89.00        1.2363
  37   1 -107.00  -89.00        1.2363
  38   1 -105.00  -89.00        1.2363
  39   1 -103.00  -89.00        1.2363
  40   1 -101.00  -89.00        1.2363
  41   1  -99.00  -89.00        1.2363
  42   1  -97.00  -89.00        1.2363
  43   1  -95.00  -89.00        1.2363
  44   1  -93.00  -89.00        1.2363
  45   1  -91.00  -89.00        1.2363
  46   1  -89.00  -89.00        1.2363
  47   1  -87.00  -89.00        1.2363
  48   1  -85.00  -89.00        1.2363
  49   1  -83.00  -89.00        1.2363
  50   1  -81.00  -89.00        1.2363
  51   1  -79.00  -89.00        1.2363
  52   1  -77.00  -89.00        1.2363
  53   1  -75.00  -89.00        1.2363
  54   1  -73.00  -89.00        1.2363
  55   1  -71.00  -89.00        1.2363
  56   1  -69.00  -89.00        1.2363
  57   1  -67.00  -89.00        1.2363
  58   1  -65.00  -89.00        1.2363
  59   1  -63.00  -89.00        1.2363
  60   1  -61.00  -89.00        1.2363
  61   1  -59.00  -89.00        1.2363
  62   1  -57.00  -89.00        1.2363
  63   1  -55.00  -89.00        1.2363
  64   1  -53.00  -89.00        1.2363
  65   1  -51.00  -89.00        1.2363
  66   1  -49.00  -89.00        1.2363
  67   1  -47.00  -89.00        1.2363
  68   1  -45.00  -89.00        1.2363
  69   1  -43.00  -89.00        1.2363
  70   1  -41.00  -89.00        1.2363
  71   1  -39.00  -89.00        1.2363
  72   1  -37.00  -89.00        1.2363
  73   1  -35.00  -89.00        1.2363
  74   1  -33.00  -89.00        1.2363
  75   1  -31.00  -89.00        1.2363
  76   1  -29.00  -89.00        1.2363
  77   1  -27.00  -89.00        1.2363
  78   1  -25.00  -89.00        1.2363
  79   1  -23.00  -89.00        1.2363
  80   1  -21.00  -89.00        1.2363
  81   1  -19.00  -89.00        1.2363
  82   1  -17.00  -89.00        1.2363
  83   1  -15.00  -89.00        1.2363
  84   1  -13.00  -89.00        1.2363
  85   1  -11.00  -89.00        1.2363
  86   1   -9.00  -89.00        1.2363
  87   1   -7.00  -89.00        1.2363
  88   1   -5.00  -89.00        1.2363
  89   1   -3.00  -89.00        1.2363
  90   1   -1.00  -89.00        1.2363
  91   1    1.00  -89.00        1.2363
  92   1    3.00  -89.00        1.2363
  93   1    5.00  -89.00        1.2363
  94   1    7.00  -89.00        1.2363
  95   1    9.00  -89.00        1.2363
  96   1   11.00  -89.00        1.2363
  97   1   13.00  -89.00        1.2363
  98   1   15.00  -89.00        1.2363
  99   1   17.00  -89.00        1.2363
 100   1   19.00  -89.00        1.2363
 101   1   21.00  -89.00        1.2363
 102   1   23.00  -89.00        1.2363
 103   1   25.00  -89.00        1.2363
 104   1   27.00  -89.00        1.2363
 105   1   29.00  -89.00        1.2363
 106   1   31.00  -89.00        1.2363
 107   1   33.00  -89.00        1.2363
 108   1   35.00  -89.00        1.2363
 109   1   37.00  -89.00        1.2363
 110   1   39.00  -89.00        1.2363
 111   1   41.00  -89.00        1.2363
 112   1   43.00  -89.00        1.2363
 113   1   45.00  -89.00        1.2363
 114   1   47.00  -89.00        1.2363
 115   1   49.00  -89.00        1.2363
 116   1   51.00  -89.00        1.2363
 117   1   53.00  -89.00        1.2363
 118   1   55.00  -89.00        1.2363
 119   1   57.00  -89.00        1.2363
 120   1   59.00  -89.00        1.2363
 121   1   61.00  -89.00        1.2363
 122   1   63.00  -89.00        1.2363
 123   1   65.00  -89.00        1.2363
 124   1   67.00  -89.00        1.2363
 125   1   69.00  -89.00        1.2363
 126   1   71.00  -89.00        1.2363
 127   1   73.00  -89.00        1.2363
 128   1   75.00  -89.00        1.2363
 129   1   77.00  -89.00        1.2363
 130   1   79.00  -89.00        1.2363
 131   1   81.00  -89.00        1.2363
 132   1   83.00  -89.00        1.2363
 133   1   85.00  -89.00        1.2363
