_Annual_J-D_1999_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -0.4337
   2   1 -177.00  -89.00       -0.4337
   3   1 -175.00  -89.00       -0.4337
   4   1 -173.00  -89.00       -0.4337
   5   1 -171.00  -89.00       -0.4337
   6   1 -169.00  -89.00       -0.4337
   7   1 -167.00  -89.00       -0.4337
   8   1 -165.00  -89.00       -0.4337
   9   1 -163.00  -89.00       -0.4337
  10   1 -161.00  -89.00       -0.4337
  11   1 -159.00  -89.00       -0.4337
  12   1 -157.00  -89.00       -0.4337
  13   1 -155.00  -89.00       -0.4337
  14   1 -153.00  -89.00       -0.4337
  15   1 -151.00  -89.00       -0.4337
  16   1 -149.00  -89.00       -0.4337
  17   1 -147.00  -89.00       -0.4337
  18   1 -145.00  -89.00       -0.4337
  19   1 -143.00  -89.00       -0.4337
  20   1 -141.00  -89.00       -0.4337
  21   1 -139.00  -89.00       -0.4337
  22   1 -137.00  -89.00       -0.4337
  23   1 -135.00  -89.00       -0.4337
  24   1 -133.00  -89.00       -0.4337
  25   1 -131.00  -89.00       -0.4337
  26   1 -129.00  -89.00       -0.4337
  27   1 -127.00  -89.00       -0.4337
  28   1 -125.00  -89.00       -0.4337
  29   1 -123.00  -89.00       -0.4337
  30   1 -121.00  -89.00       -0.4337
  31   1 -119.00  -89.00       -0.4337
  32   1 -117.00  -89.00       -0.4337
  33   1 -115.00  -89.00       -0.4337
  34   1 -113.00  -89.00       -0.4337
  35   1 -111.00  -89.00       -0.4337
  36   1 -109.00  -89.00       -0.4337
  37   1 -107.00  -89.00       -0.4337
  38   1 -105.00  -89.00       -0.4337
  39   1 -103.00  -89.00       -0.4337
  40   1 -101.00  -89.00       -0.4337
  41   1  -99.00  -89.00       -0.4337
  42   1  -97.00  -89.00       -0.4337
  43   1  -95.00  -89.00       -0.4337
  44   1  -93.00  -89.00       -0.4337
  45   1  -91.00  -89.00       -0.4337
  46   1  -89.00  -89.00       -0.4337
  47   1  -87.00  -89.00       -0.4337
  48   1  -85.00  -89.00       -0.4337
  49   1  -83.00  -89.00       -0.4337
  50   1  -81.00  -89.00       -0.4337
  51   1  -79.00  -89.00       -0.4337
  52   1  -77.00  -89.00       -0.4337
  53   1  -75.00  -89.00       -0.4337
  54   1  -73.00  -89.00       -0.4337
  55   1  -71.00  -89.00       -0.4337
  56   1  -69.00  -89.00       -0.4337
  57   1  -67.00  -89.00       -0.4337
  58   1  -65.00  -89.00       -0.4337
  59   1  -63.00  -89.00       -0.4337
  60   1  -61.00  -89.00       -0.4337
  61   1  -59.00  -89.00       -0.4337
  62   1  -57.00  -89.00       -0.4337
  63   1  -55.00  -89.00       -0.4337
  64   1  -53.00  -89.00       -0.4337
  65   1  -51.00  -89.00       -0.4337
  66   1  -49.00  -89.00       -0.4337
  67   1  -47.00  -89.00       -0.4337
