_Annual_J-D_2005_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.9736
   2   1 -177.00  -89.00        0.9736
   3   1 -175.00  -89.00        0.9736
   4   1 -173.00  -89.00        0.9736
   5   1 -171.00  -89.00        0.9736
   6   1 -169.00  -89.00        0.9736
   7   1 -167.00  -89.00        0.9736
   8   1 -165.00  -89.00        0.9736
   9   1 -163.00  -89.00        0.9736
  10   1 -161.00  -89.00        0.9736
  11   1 -159.00  -89.00        0.9736
  12   1 -157.00  -89.00        0.9736
  13   1 -155.00  -89.00        0.9736
  14   1 -153.00  -89.00        0.9736
  15   1 -151.00  -89.00        0.9736
  16   1 -149.00  -89.00        0.9736
  17   1 -147.00  -89.00        0.9736
  18   1 -145.00  -89.00        0.9736
  19   1 -143.00  -89.00        0.9736
  20   1 -141.00  -89.00        0.9736
  21   1 -139.00  -89.00        0.9736
  22   1 -137.00  -89.00        0.9736
  23   1 -135.00  -89.00        0.9736
  24   1 -133.00  -89.00        0.9736
  25   1 -131.00  -89.00        0.9736
  26   1 -129.00  -89.00        0.9736
  27   1 -127.00  -89.00        0.9736
  28   1 -125.00  -89.00        0.9736
  29   1 -123.00  -89.00        0.9736
  30   1 -121.00  -89.00        0.9736
  31   1 -119.00  -89.00        0.9736
  32   1 -117.00  -89.00        0.9736
  33   1 -115.00  -89.00        0.9736
  34   1 -113.00  -89.00        0.9736
  35   1 -111.00  -89.00        0.9736
  36   1 -109.00  -89.00        0.9736
  37   1 -107.00  -89.00        0.9736
  38   1 -105.00  -89.00        0.9736
  39   1 -103.00  -89.00        0.9736
  40   1 -101.00  -89.00        0.9736
  41   1  -99.00  -89.00        0.9736
  42   1  -97.00  -89.00        0.9736
  43   1  -95.00  -89.00        0.9736
  44   1  -93.00  -89.00        0.9736
  45   1  -91.00  -89.00        0.9736
  46   1  -89.00  -89.00        0.9736
  47   1  -87.00  -89.00        0.9736
  48   1  -85.00  -89.00        0.9736
  49   1  -83.00  -89.00        0.9736
  50   1  -81.00  -89.00        0.9736
  51   1  -79.00  -89.00        0.9736
  52   1  -77.00  -89.00        0.9736
  53   1  -75.00  -89.00        0.9736
  54   1  -73.00  -89.00        0.9736
  55   1  -71.00  -89.00        0.9736
  56   1  -69.00  -89.00        0.9736
  57   1  -67.00  -89.00        0.9736
  58   1  -65.00  -89.00        0.9736
  59   1  -63.00  -89.00        0.9736
  60   1  -61.00  -89.00        0.9736
  61   1  -59.00  -89.00        0.9736
  62   1  -57.00  -89.00        0.9736
  63   1  -55.00  -89.00        0.9736
  64   1  -53.00  -89.00        0.9736
  65   1  -51.00  -89.00        0.9736
  66   1  -49.00  -89.00        0.9736
  67   1  -47.00  -89.00        0.9736
  68   1  -45.00  -89.00        0.9736
  69   1  -43.00  -89.00        0.9736
  70   1  -41.00  -89.00        0.9736
  71   1  -39.00  -89.00        0.9736
  72   1  -37.00  -89.00        0.9736
  73   1  -35.00  -89.00        0.9736
  74   1  -33.00  -89.00        0.9736
  75   1  -31.00  -89.00        0.9736
  76   1  -29.00  -89.00        0.9736
  77   1  -27.00  -89.00        0.9736
  78   1  -25.00  -89.00        0.9736
  79   1  -23.00  -89.00        0.9736
  80   1  -21.00  -89.00        0.9736
  81   1  -19.00  -89.00        0.9736
  82   1  -17.00  -89.00        0.9736
  83   1  -15.00  -89.00        0.9736
  84   1  -13.00  -89.00        0.9736
  85   1  -11.00  -89.00        0.9736
  86   1   -9.00  -89.00        0.9736
  87   1   -7.00  -89.00        0.9736
  88   1   -5.00  -89.00        0.9736
  89   1   -3.00  -89.00        0.9736
  90   1   -1.00  -89.00        0.9736
  91   1    1.00  -89.00        0.9736
  92   1    3.00  -89.00        0.9736
  93   1    5.00  -89.00        0.9736
  94   1    7.00  -89.00        0.9736
  95   1    9.00  -89.00        0.9736
  96   1   11.00  -89.00        0.9736
  97   1   13.00  -89.00        0.9736
  98   1   15.00  -89.00        0.9736
  99   1   17.00  -89.00        0.9736
 100   1   19.00  -89.00        0.9736
 101   1   21.00  -89.00        0.9736
 102   1   23.00  -89.00        0.9736
 103   1   25.00  -89.00        0.9736
 104   1   27.00  -89.00        0.9736
 105   1   29.00  -89.00        0.9736
 106   1   31.00  -89.00        0.9736
 107   1   33.00  -89.00        0.9736
 108   1   35.00  -89.00        0.9736
 109   1   37.00  -89.00        0.9736
 110   1   39.00  -89.00        0.9736
 111   1   41.00  -89.00        0.9736
 112   1   43.00  -89.00        0.9736
 113   1   45.00  -89.00        0.9736
 114   1   47.00  -89.00        0.9736
 115   1   49.00  -89.00        0.9736
 116   1   51.00  -89.00        0.9736
 117   1   53.00  -89.00        0.9736
 118   1   55.00  -89.00        0.9736
 119   1   57.00  -89.00        0.9736
 120   1   59.00  -89.00        0.9736
 121   1   61.00  -89.00        0.9736
 122   1   63.00  -89.00        0.9736
 123   1   65.00  -89.00        0.9736
 124   1   67.00  -89.00        0.9736
 125   1   69.00  -89.00        0.9736
 126   1   71.00  -89.00        0.9736
 127   1   73.00  -89.00        0.9736
 128   1   75.00  -89.00        0.9736
 129   1   77.00  -89.00        0.9736
 130   1   79.00  -89.00        0.9736
 131   1   81.00  -89.00        0.9736
 132   1   83.00  -89.00        0.9736
 133   1   85.00  -89.00        0.9736
 134   1   87.00  -89.00        0.9736
 135   1   89.00  -89.00        0.9736
 136   1   91.00  -89.00        0.9736
 137   1   93.00  -89.00        0.9736
 138   1   95.00  -89.00        0.9736
 139   1   97.00  -89.00        0.9736
 140   1   99.00  -89.00        0.9736
 141   1  101.00  -89.00        0.9736
 142   1  103.00  -89.00        0.9736
 143   1  105.00  -89.00        0.9736
 144   1  107.00  -89.00        0.9736
 145   1  109.00  -89.00        0.9736
 146   1  111.00  -89.00        0.9736
 147   1  113.00  -89.00        0.9736
 148   1  115.00  -89.00        0.9736
 149   1  117.00  -89.00        0.9736
 150   1  119.00  -89.00        0.9736
 151   1  121.00  -89.00        0.9736
 152   1  123.00  -89.00        0.9736
 153   1  125.00  -89.00        0.9736
 154   1  127.00  -89.00        0.9736
 155   1  129.00  -89.00        0.9736
 156   1  131.00  -89.00        0.9736
 157   1  133.00  -89.00        0.9736
 158   1  135.00  -89.00        0.9736
 159   1  137.00  -89.00        0.9736
 160   1  139.00  -89.00        0.9736
 161   1  141.00  -89.00        0.9736
 162   1  143.00  -89.00        0.9736
 163   1  145.00  -89.00        0.9736
 164   1  147.00  -89.00        0.9736
 165   1  149.00  -89.00        0.9736
 166   1  151.00  -89.00        0.9736
 167   1  153.00  -89.00        0.9736
 168   1  155.00  -89.00        0.9736
 169   1  157.00  -89.00        0.9736
 170   1  159.00  -89.00        0.9736
 171   1  161.00  -89.00        0.9736
 172   1  163.00  -89.00        0.9736
 173   1  165.00  -89.00        0.9736
 174   1  167.00  -89.00        0.9736
 175   1  169.00  -89.00        0.9736
 176   1  171.00  -89.00        0.9736
 177   1  173.00  -89.00        0.9736
 178   1  175.00  -89.00        0.9736
 179   1  177.00  -89.00        0.9736
 180   1  179.00  -89.00        0.9736
   1   2 -179.00  -87.00        0.9736
   2   2 -177.00  -87.00        0.9736
