_Annual_J-D_1992_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.1687
   2   1 -177.00  -89.00        0.1687
   3   1 -175.00  -89.00        0.1687
   4   1 -173.00  -89.00        0.1687
   5   1 -171.00  -89.00        0.1687
   6   1 -169.00  -89.00        0.1687
   7   1 -167.00  -89.00        0.1687
   8   1 -165.00  -89.00        0.1687
   9   1 -163.00  -89.00        0.1687
  10   1 -161.00  -89.00        0.1687
  11   1 -159.00  -89.00        0.1687
  12   1 -157.00  -89.00        0.1687
  13   1 -155.00  -89.00        0.1687
  14   1 -153.00  -89.00        0.1687
  15   1 -151.00  -89.00        0.1687
  16   1 -149.00  -89.00        0.1687
  17   1 -147.00  -89.00        0.1687
  18   1 -145.00  -89.00        0.1687
  19   1 -143.00  -89.00        0.1687
  20   1 -141.00  -89.00        0.1687
  21   1 -139.00  -89.00        0.1687
  22   1 -137.00  -89.00        0.1687
  23   1 -135.00  -89.00        0.1687
  24   1 -133.00  -89.00        0.1687
  25   1 -131.00  -89.00        0.1687
  26   1 -129.00  -89.00        0.1687
  27   1 -127.00  -89.00        0.1687
  28   1 -125.00  -89.00        0.1687
  29   1 -123.00  -89.00        0.1687
  30   1 -121.00  -89.00        0.1687
  31   1 -119.00  -89.00        0.1687
  32   1 -117.00  -89.00        0.1687
  33   1 -115.00  -89.00        0.1687
  34   1 -113.00  -89.00        0.1687
  35   1 -111.00  -89.00        0.1687
  36   1 -109.00  -89.00        0.1687
  37   1 -107.00  -89.00        0.1687
  38   1 -105.00  -89.00        0.1687
  39   1 -103.00  -89.00        0.1687
  40   1 -101.00  -89.00        0.1687
  41   1  -99.00  -89.00        0.1687
  42   1  -97.00  -89.00        0.1687
  43   1  -95.00  -89.00        0.1687
  44   1  -93.00  -89.00        0.1687
  45   1  -91.00  -89.00        0.1687
  46   1  -89.00  -89.00        0.1687
  47   1  -87.00  -89.00        0.1687
  48   1  -85.00  -89.00        0.1687
  49   1  -83.00  -89.00        0.1687
  50   1  -81.00  -89.00        0.1687
  51   1  -79.00  -89.00        0.1687
  52   1  -77.00  -89.00        0.1687
  53   1  -75.00  -89.00        0.1687
  54   1  -73.00  -89.00        0.1687
  55   1  -71.00  -89.00        0.1687
  56   1  -69.00  -89.00        0.1687
  57   1  -67.00  -89.00        0.1687
  58   1  -65.00  -89.00        0.1687
  59   1  -63.00  -89.00        0.1687
  60   1  -61.00  -89.00        0.1687
  61   1  -59.00  -89.00        0.1687
  62   1  -57.00  -89.00        0.1687
  63   1  -55.00  -89.00        0.1687
  64   1  -53.00  -89.00        0.1687
  65   1  -51.00  -89.00        0.1687
  66   1  -49.00  -89.00        0.1687
  67   1  -47.00  -89.00        0.1687
  68   1  -45.00  -89.00        0.1687
  69   1  -43.00  -89.00        0.1687
  70   1  -41.00  -89.00        0.1687
  71   1  -39.00  -89.00        0.1687
  72   1  -37.00  -89.00        0.1687
  73   1  -35.00  -89.00        0.1687
  74   1  -33.00  -89.00        0.1687
  75   1  -31.00  -89.00        0.1687
  76   1  -29.00  -89.00        0.1687
  77   1  -27.00  -89.00        0.1687
  78   1  -25.00  -89.00        0.1687
  79   1  -23.00  -89.00        0.1687
  80   1  -21.00  -89.00        0.1687
  81   1  -19.00  -89.00        0.1687
  82   1  -17.00  -89.00        0.1687
  83   1  -15.00  -89.00        0.1687
  84   1  -13.00  -89.00        0.1687
  85   1  -11.00  -89.00        0.1687
  86   1   -9.00  -89.00        0.1687
  87   1   -7.00  -89.00        0.1687
  88   1   -5.00  -89.00        0.1687
  89   1   -3.00  -89.00        0.1687
  90   1   -1.00  -89.00        0.1687
  91   1    1.00  -89.00        0.1687
  92   1    3.00  -89.00        0.1687
  93   1    5.00  -89.00        0.1687
  94   1    7.00  -89.00        0.1687
  95   1    9.00  -89.00        0.1687
  96   1   11.00  -89.00        0.1687
  97   1   13.00  -89.00        0.1687
  98   1   15.00  -89.00        0.1687
  99   1   17.00  -89.00        0.1687
 100   1   19.00  -89.00        0.1687
 101   1   21.00  -89.00        0.1687
 102   1   23.00  -89.00        0.1687
 103   1   25.00  -89.00        0.1687
 104   1   27.00  -89.00        0.1687
 105   1   29.00  -89.00        0.1687
 106   1   31.00  -89.00        0.1687
 107   1   33.00  -89.00        0.1687
 108   1   35.00  -89.00        0.1687
 109   1   37.00  -89.00        0.1687
 110   1   39.00  -89.00        0.1687
 111   1   41.00  -89.00        0.1687
 112   1   43.00  -89.00        0.1687
 113   1   45.00  -89.00        0.1687
 114   1   47.00  -89.00        0.1687
 115   1   49.00  -89.00        0.1687
 116   1   51.00  -89.00        0.1687
 117   1   53.00  -89.00        0.1687
 118   1   55.00  -89.00        0.1687
 119   1   57.00  -89.00        0.1687
 120   1   59.00  -89.00        0.1687
 121   1   61.00  -89.00        0.1687
 122   1   63.00  -89.00        0.1687
 123   1   65.00  -89.00        0.1687
 124   1   67.00  -89.00        0.1687
 125   1   69.00  -89.00        0.1687
 126   1   71.00  -89.00        0.1687
 127   1   73.00  -89.00        0.1687
 128   1   75.00  -89.00        0.1687
 129   1   77.00  -89.00        0.1687
 130   1   79.00  -89.00        0.1687
 131   1   81.00  -89.00        0.1687
 132   1   83.00  -89.00        0.1687
 133   1   85.00  -89.00        0.1687
 134   1   87.00  -89.00        0.1687
 135   1   89.00  -89.00        0.1687
 136   1   91.00  -89.00        0.1687
 137   1   93.00  -89.00        0.1687
 138   1   95.00  -89.00        0.1687
 139   1   97.00  -89.00        0.1687
 140   1   99.00  -89.00        0.1687
 141   1  101.00  -89.00        0.1687
 142   1  103.00  -89.00        0.1687
 143   1  105.00  -89.00        0.1687
 144   1  107.00  -89.00        0.1687
 145   1  109.00  -89.00        0.1687
 146   1  111.00  -89.00        0.1687
 147   1  113.00  -89.00        0.1687
 148   1  115.00  -89.00        0.1687
 149   1  117.00  -89.00        0.1687
 150   1  119.00  -89.00        0.1687
 151   1  121.00  -89.00        0.1687
 152   1  123.00  -89.00        0.1687
 153   1  125.00  -89.00        0.1687
 154   1  127.00  -89.00        0.1687
 155   1  129.00  -89.00        0.1687
 156   1  131.00  -89.00        0.1687
 157   1  133.00  -89.00        0.1687
 158   1  135.00  -89.00        0.1687
 159   1  137.00  -89.00        0.1687
 160   1  139.00  -89.00        0.1687
 161   1  141.00  -89.00        0.1687
 162   1  143.00  -89.00        0.1687
 163   1  145.00  -89.00        0.1687
 164   1  147.00  -89.00        0.1687
 165   1  149.00  -89.00        0.1687
 166   1  151.00  -89.00        0.1687
 167   1  153.00  -89.00        0.1687
 168   1  155.00  -89.00        0.1687
 169   1  157.00  -89.00        0.1687
 170   1  159.00  -89.00        0.1687
 171   1  161.00  -89.00        0.1687
 172   1  163.00  -89.00        0.1687
 173   1  165.00  -89.00        0.1687
 174   1  167.00  -89.00        0.1687
 175   1  169.00  -89.00        0.1687
 176   1  171.00  -89.00        0.1687
 177   1  173.00  -89.00        0.1687
 178   1  175.00  -89.00        0.1687
 179   1  177.00  -89.00        0.1687
 180   1  179.00  -89.00        0.1687
   1   2 -179.00  -87.00        0.1687
   2   2 -177.00  -87.00        0.1687
   3   2 -175.00  -87.00        0.1687
   4   2 -173.00  -87.00        0.1687
   5   2 -171.00  -87.00        0.1687
   6   2 -169.00  -87.00        0.1687
   7   2 -167.00  -87.00        0.1687
   8   2 -165.00  -87.00        0.1687
   9   2 -163.00  -87.00        0.1687
  10   2 -161.00  -87.00        0.1687
  11   2 -159.00  -87.00        0.1687
  12   2 -157.00  -87.00        0.1687
  13   2 -155.00  -87.00        0.1687
  14   2 -153.00  -87.00        0.1687
  15   2 -151.00  -87.00        0.1687
  16   2 -149.00  -87.00        0.1687
  17   2 -147.00  -87.00        0.1687
  18   2 -145.00  -87.00        0.1687
  19   2 -143.00  -87.00        0.1687
  20   2 -141.00  -87.00        0.1687
  21   2 -139.00  -87.00        0.1687
  22   2 -137.00  -87.00        0.1687
  23   2 -135.00  -87.00        0.1687
  24   2 -133.00  -87.00        0.1687
  25   2 -131.00  -87.00        0.1687
  26   2 -129.00  -87.00        0.1687
  27   2 -127.00  -87.00        0.1687
  28   2 -125.00  -87.00        0.1687
  29   2 -123.00  -87.00        0.1687
  30   2 -121.00  -87.00        0.1687
  31   2 -119.00  -87.00        0.1687
  32   2 -117.00  -87.00        0.1687
  33   2 -115.00  -87.00        0.1687
  34   2 -113.00  -87.00        0.1687
  35   2 -111.00  -87.00        0.1687
  36   2 -109.00  -87.00        0.1687
  37   2 -107.00  -87.00        0.1687
  38   2 -105.00  -87.00        0.1687
  39   2 -103.00  -87.00        0.1687
  40   2 -101.00  -87.00        0.1687
  41   2  -99.00  -87.00        0.1687
