_Annual_J-D_1996_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.7472
   2   1 -177.00  -89.00        0.7472
   3   1 -175.00  -89.00        0.7472
   4   1 -173.00  -89.00        0.7472
   5   1 -171.00  -89.00        0.7472
   6   1 -169.00  -89.00        0.7472
   7   1 -167.00  -89.00        0.7472
   8   1 -165.00  -89.00        0.7472
   9   1 -163.00  -89.00        0.7472
  10   1 -161.00  -89.00        0.7472
  11   1 -159.00  -89.00        0.7472
  12   1 -157.00  -89.00        0.7472
  13   1 -155.00  -89.00        0.7472
  14   1 -153.00  -89.00        0.7472
  15   1 -151.00  -89.00        0.7472
  16   1 -149.00  -89.00        0.7472
  17   1 -147.00  -89.00        0.7472
  18   1 -145.00  -89.00        0.7472
  19   1 -143.00  -89.00        0.7472
  20   1 -141.00  -89.00        0.7472
  21   1 -139.00  -89.00        0.7472
  22   1 -137.00  -89.00        0.7472
  23   1 -135.00  -89.00        0.7472
  24   1 -133.00  -89.00        0.7472
  25   1 -131.00  -89.00        0.7472
  26   1 -129.00  -89.00        0.7472
  27   1 -127.00  -89.00        0.7472
  28   1 -125.00  -89.00        0.7472
  29   1 -123.00  -89.00        0.7472
  30   1 -121.00  -89.00        0.7472
  31   1 -119.00  -89.00        0.7472
  32   1 -117.00  -89.00        0.7472
  33   1 -115.00  -89.00        0.7472
  34   1 -113.00  -89.00        0.7472
  35   1 -111.00  -89.00        0.7472
  36   1 -109.00  -89.00        0.7472
  37   1 -107.00  -89.00        0.7472
  38   1 -105.00  -89.00        0.7472
  39   1 -103.00  -89.00        0.7472
  40   1 -101.00  -89.00        0.7472
  41   1  -99.00  -89.00        0.7472
  42   1  -97.00  -89.00        0.7472
  43   1  -95.00  -89.00        0.7472
  44   1  -93.00  -89.00        0.7472
  45   1  -91.00  -89.00        0.7472
  46   1  -89.00  -89.00        0.7472
  47   1  -87.00  -89.00        0.7472
  48   1  -85.00  -89.00        0.7472
  49   1  -83.00  -89.00        0.7472
  50   1  -81.00  -89.00        0.7472
  51   1  -79.00  -89.00        0.7472
  52   1  -77.00  -89.00        0.7472
  53   1  -75.00  -89.00        0.7472
  54   1  -73.00  -89.00        0.7472
  55   1  -71.00  -89.00        0.7472
  56   1  -69.00  -89.00        0.7472
  57   1  -67.00  -89.00        0.7472
  58   1  -65.00  -89.00        0.7472
  59   1  -63.00  -89.00        0.7472
  60   1  -61.00  -89.00        0.7472
  61   1  -59.00  -89.00        0.7472
  62   1  -57.00  -89.00        0.7472
  63   1  -55.00  -89.00        0.7472
  64   1  -53.00  -89.00        0.7472
  65   1  -51.00  -89.00        0.7472
  66   1  -49.00  -89.00        0.7472
  67   1  -47.00  -89.00        0.7472
  68   1  -45.00  -89.00        0.7472
