_Annual_J-D_2004_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -1.0110
   2   1 -177.00  -89.00       -1.0110
   3   1 -175.00  -89.00       -1.0110
   4   1 -173.00  -89.00       -1.0110
   5   1 -171.00  -89.00       -1.0110
   6   1 -169.00  -89.00       -1.0110
   7   1 -167.00  -89.00       -1.0110
   8   1 -165.00  -89.00       -1.0110
   9   1 -163.00  -89.00       -1.0110
  10   1 -161.00  -89.00       -1.0110
  11   1 -159.00  -89.00       -1.0110
  12   1 -157.00  -89.00       -1.0110
  13   1 -155.00  -89.00       -1.0110
  14   1 -153.00  -89.00       -1.0110
  15   1 -151.00  -89.00       -1.0110
  16   1 -149.00  -89.00       -1.0110
  17   1 -147.00  -89.00       -1.0110
  18   1 -145.00  -89.00       -1.0110
  19   1 -143.00  -89.00       -1.0110
  20   1 -141.00  -89.00       -1.0110
  21   1 -139.00  -89.00       -1.0110
  22   1 -137.00  -89.00       -1.0110
  23   1 -135.00  -89.00       -1.0110
  24   1 -133.00  -89.00       -1.0110
  25   1 -131.00  -89.00       -1.0110
  26   1 -129.00  -89.00       -1.0110
  27   1 -127.00  -89.00       -1.0110
  28   1 -125.00  -89.00       -1.0110
  29   1 -123.00  -89.00       -1.0110
  30   1 -121.00  -89.00       -1.0110
  31   1 -119.00  -89.00       -1.0110
  32   1 -117.00  -89.00       -1.0110
  33   1 -115.00  -89.00       -1.0110
  34   1 -113.00  -89.00       -1.0110
  35   1 -111.00  -89.00       -1.0110
  36   1 -109.00  -89.00       -1.0110
  37   1 -107.00  -89.00       -1.0110
  38   1 -105.00  -89.00       -1.0110
  39   1 -103.00  -89.00       -1.0110
  40   1 -101.00  -89.00       -1.0110
  41   1  -99.00  -89.00       -1.0110
  42   1  -97.00  -89.00       -1.0110
  43   1  -95.00  -89.00       -1.0110
  44   1  -93.00  -89.00       -1.0110
  45   1  -91.00  -89.00       -1.0110
  46   1  -89.00  -89.00       -1.0110
  47   1  -87.00  -89.00       -1.0110
  48   1  -85.00  -89.00       -1.0110
  49   1  -83.00  -89.00       -1.0110
  50   1  -81.00  -89.00       -1.0110
  51   1  -79.00  -89.00       -1.0110
  52   1  -77.00  -89.00       -1.0110
  53   1  -75.00  -89.00       -1.0110
  54   1  -73.00  -89.00       -1.0110
  55   1  -71.00  -89.00       -1.0110
  56   1  -69.00  -89.00       -1.0110
  57   1  -67.00  -89.00       -1.0110
  58   1  -65.00  -89.00       -1.0110
  59   1  -63.00  -89.00       -1.0110
  60   1  -61.00  -89.00       -1.0110
  61   1  -59.00  -89.00       -1.0110
  62   1  -57.00  -89.00       -1.0110
  63   1  -55.00  -89.00       -1.0110
  64   1  -53.00  -89.00       -1.0110
  65   1  -51.00  -89.00       -1.0110
  66   1  -49.00  -89.00       -1.0110
  67   1  -47.00  -89.00       -1.0110
  68   1  -45.00  -89.00       -1.0110
  69   1  -43.00  -89.00       -1.0110
  70   1  -41.00  -89.00       -1.0110
  71   1  -39.00  -89.00       -1.0110
  72   1  -37.00  -89.00       -1.0110
  73   1  -35.00  -89.00       -1.0110
  74   1  -33.00  -89.00       -1.0110
  75   1  -31.00  -89.00       -1.0110
  76   1  -29.00  -89.00       -1.0110
