_Annual_J-D_2013_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        1.2922
   2   1 -177.00  -89.00        1.2922
   3   1 -175.00  -89.00        1.2922
   4   1 -173.00  -89.00        1.2922
   5   1 -171.00  -89.00        1.2922
   6   1 -169.00  -89.00        1.2922
   7   1 -167.00  -89.00        1.2922
   8   1 -165.00  -89.00        1.2922
   9   1 -163.00  -89.00        1.2922
  10   1 -161.00  -89.00        1.2922
  11   1 -159.00  -89.00        1.2922
  12   1 -157.00  -89.00        1.2922
  13   1 -155.00  -89.00        1.2922
  14   1 -153.00  -89.00        1.2922
  15   1 -151.00  -89.00        1.2922
  16   1 -149.00  -89.00        1.2922
  17   1 -147.00  -89.00        1.2922
  18   1 -145.00  -89.00        1.2922
  19   1 -143.00  -89.00        1.2922
  20   1 -141.00  -89.00        1.2922
  21   1 -139.00  -89.00        1.2922
  22   1 -137.00  -89.00        1.2922
  23   1 -135.00  -89.00        1.2922
  24   1 -133.00  -89.00        1.2922
  25   1 -131.00  -89.00        1.2922
  26   1 -129.00  -89.00        1.2922
  27   1 -127.00  -89.00        1.2922
  28   1 -125.00  -89.00        1.2922
  29   1 -123.00  -89.00        1.2922
  30   1 -121.00  -89.00        1.2922
  31   1 -119.00  -89.00        1.2922
  32   1 -117.00  -89.00        1.2922
  33   1 -115.00  -89.00        1.2922
  34   1 -113.00  -89.00        1.2922
  35   1 -111.00  -89.00        1.2922
  36   1 -109.00  -89.00        1.2922
  37   1 -107.00  -89.00        1.2922
  38   1 -105.00  -89.00        1.2922
  39   1 -103.00  -89.00        1.2922
  40   1 -101.00  -89.00        1.2922
  41   1  -99.00  -89.00        1.2922
  42   1  -97.00  -89.00        1.2922
  43   1  -95.00  -89.00        1.2922
  44   1  -93.00  -89.00        1.2922
  45   1  -91.00  -89.00        1.2922
  46   1  -89.00  -89.00        1.2922
  47   1  -87.00  -89.00        1.2922
  48   1  -85.00  -89.00        1.2922
  49   1  -83.00  -89.00        1.2922
  50   1  -81.00  -89.00        1.2922
  51   1  -79.00  -89.00        1.2922
  52   1  -77.00  -89.00        1.2922
  53   1  -75.00  -89.00        1.2922
  54   1  -73.00  -89.00        1.2922
  55   1  -71.00  -89.00        1.2922
  56   1  -69.00  -89.00        1.2922
  57   1  -67.00  -89.00        1.2922
  58   1  -65.00  -89.00        1.2922
  59   1  -63.00  -89.00        1.2922
  60   1  -61.00  -89.00        1.2922
  61   1  -59.00  -89.00        1.2922
  62   1  -57.00  -89.00        1.2922
  63   1  -55.00  -89.00        1.2922
  64   1  -53.00  -89.00        1.2922
  65   1  -51.00  -89.00        1.2922
  66   1  -49.00  -89.00        1.2922
  67   1  -47.00  -89.00        1.2922
  68   1  -45.00  -89.00        1.2922
  69   1  -43.00  -89.00        1.2922
  70   1  -41.00  -89.00        1.2922
  71   1  -39.00  -89.00        1.2922
  72   1  -37.00  -89.00        1.2922
  73   1  -35.00  -89.00        1.2922
  74   1  -33.00  -89.00        1.2922
  75   1  -31.00  -89.00        1.2922
  76   1  -29.00  -89.00        1.2922
  77   1  -27.00  -89.00        1.2922
  78   1  -25.00  -89.00        1.2922
  79   1  -23.00  -89.00        1.2922
  80   1  -21.00  -89.00        1.2922
  81   1  -19.00  -89.00        1.2922
  82   1  -17.00  -89.00        1.2922
  83   1  -15.00  -89.00        1.2922
  84   1  -13.00  -89.00        1.2922
  85   1  -11.00  -89.00        1.2922
  86   1   -9.00  -89.00        1.2922
  87   1   -7.00  -89.00        1.2922
  88   1   -5.00  -89.00        1.2922
  89   1   -3.00  -89.00        1.2922
  90   1   -1.00  -89.00        1.2922
  91   1    1.00  -89.00        1.2922
  92   1    3.00  -89.00        1.2922
  93   1    5.00  -89.00        1.2922
  94   1    7.00  -89.00        1.2922
  95   1    9.00  -89.00        1.2922
  96   1   11.00  -89.00        1.2922
  97   1   13.00  -89.00        1.2922
  98   1   15.00  -89.00        1.2922
  99   1   17.00  -89.00        1.2922
 100   1   19.00  -89.00        1.2922
 101   1   21.00  -89.00        1.2922
 102   1   23.00  -89.00        1.2922
 103   1   25.00  -89.00        1.2922
 104   1   27.00  -89.00        1.2922
 105   1   29.00  -89.00        1.2922
 106   1   31.00  -89.00        1.2922
 107   1   33.00  -89.00        1.2922
 108   1   35.00  -89.00        1.2922
 109   1   37.00  -89.00        1.2922
 110   1   39.00  -89.00        1.2922
