_Annual_J-D_1990_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00       -0.2142
   2   1 -177.00  -89.00       -0.2142
   3   1 -175.00  -89.00       -0.2142
   4   1 -173.00  -89.00       -0.2142
   5   1 -171.00  -89.00       -0.2142
   6   1 -169.00  -89.00       -0.2142
   7   1 -167.00  -89.00       -0.2142
   8   1 -165.00  -89.00       -0.2142
   9   1 -163.00  -89.00       -0.2142
  10   1 -161.00  -89.00       -0.2142
  11   1 -159.00  -89.00       -0.2142
  12   1 -157.00  -89.00       -0.2142
  13   1 -155.00  -89.00       -0.2142
  14   1 -153.00  -89.00       -0.2142
  15   1 -151.00  -89.00       -0.2142
  16   1 -149.00  -89.00       -0.2142
  17   1 -147.00  -89.00       -0.2142
  18   1 -145.00  -89.00       -0.2142
  19   1 -143.00  -89.00       -0.2142
  20   1 -141.00  -89.00       -0.2142
  21   1 -139.00  -89.00       -0.2142
  22   1 -137.00  -89.00       -0.2142
  23   1 -135.00  -89.00       -0.2142
  24   1 -133.00  -89.00       -0.2142
  25   1 -131.00  -89.00       -0.2142
  26   1 -129.00  -89.00       -0.2142
  27   1 -127.00  -89.00       -0.2142
  28   1 -125.00  -89.00       -0.2142
  29   1 -123.00  -89.00       -0.2142
  30   1 -121.00  -89.00       -0.2142
  31   1 -119.00  -89.00       -0.2142
  32   1 -117.00  -89.00       -0.2142
  33   1 -115.00  -89.00       -0.2142
  34   1 -113.00  -89.00       -0.2142
  35   1 -111.00  -89.00       -0.2142
  36   1 -109.00  -89.00       -0.2142
  37   1 -107.00  -89.00       -0.2142
  38   1 -105.00  -89.00       -0.2142
  39   1 -103.00  -89.00       -0.2142
  40   1 -101.00  -89.00       -0.2142
  41   1  -99.00  -89.00       -0.2142
  42   1  -97.00  -89.00       -0.2142
  43   1  -95.00  -89.00       -0.2142
  44   1  -93.00  -89.00       -0.2142
  45   1  -91.00  -89.00       -0.2142
  46   1  -89.00  -89.00       -0.2142
  47   1  -87.00  -89.00       -0.2142
  48   1  -85.00  -89.00       -0.2142
  49   1  -83.00  -89.00       -0.2142
  50   1  -81.00  -89.00       -0.2142
  51   1  -79.00  -89.00       -0.2142
  52   1  -77.00  -89.00       -0.2142
