_Annual_J-D_2007_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.5612
   2   1 -177.00  -89.00        0.5612
   3   1 -175.00  -89.00        0.5612
   4   1 -173.00  -89.00        0.5612
   5   1 -171.00  -89.00        0.5612
   6   1 -169.00  -89.00        0.5612
   7   1 -167.00  -89.00        0.5612
   8   1 -165.00  -89.00        0.5612
   9   1 -163.00  -89.00        0.5612
  10   1 -161.00  -89.00        0.5612
  11   1 -159.00  -89.00        0.5612
  12   1 -157.00  -89.00        0.5612
  13   1 -155.00  -89.00        0.5612
  14   1 -153.00  -89.00        0.5612
  15   1 -151.00  -89.00        0.5612
  16   1 -149.00  -89.00        0.5612
  17   1 -147.00  -89.00        0.5612
  18   1 -145.00  -89.00        0.5612
  19   1 -143.00  -89.00        0.5612
  20   1 -141.00  -89.00        0.5612
  21   1 -139.00  -89.00        0.5612
  22   1 -137.00  -89.00        0.5612
  23   1 -135.00  -89.00        0.5612
  24   1 -133.00  -89.00        0.5612
  25   1 -131.00  -89.00        0.5612
  26   1 -129.00  -89.00        0.5612
  27   1 -127.00  -89.00        0.5612
  28   1 -125.00  -89.00        0.5612
  29   1 -123.00  -89.00        0.5612
  30   1 -121.00  -89.00        0.5612
  31   1 -119.00  -89.00        0.5612
  32   1 -117.00  -89.00        0.5612
  33   1 -115.00  -89.00        0.5612
  34   1 -113.00  -89.00        0.5612
  35   1 -111.00  -89.00        0.5612
  36   1 -109.00  -89.00        0.5612
  37   1 -107.00  -89.00        0.5612
  38   1 -105.00  -89.00        0.5612
  39   1 -103.00  -89.00        0.5612
  40   1 -101.00  -89.00        0.5612
  41   1  -99.00  -89.00        0.5612
  42   1  -97.00  -89.00        0.5612
  43   1  -95.00  -89.00        0.5612
  44   1  -93.00  -89.00        0.5612
  45   1  -91.00  -89.00        0.5612
  46   1  -89.00  -89.00        0.5612
  47   1  -87.00  -89.00        0.5612
  48   1  -85.00  -89.00        0.5612
  49   1  -83.00  -89.00        0.5612
  50   1  -81.00  -89.00        0.5612
  51   1  -79.00  -89.00        0.5612
  52   1  -77.00  -89.00        0.5612
  53   1  -75.00  -89.00        0.5612
  54   1  -73.00  -89.00        0.5612
  55   1  -71.00  -89.00        0.5612
  56   1  -69.00  -89.00        0.5612
  57   1  -67.00  -89.00        0.5612
  58   1  -65.00  -89.00        0.5612
  59   1  -63.00  -89.00        0.5612
  60   1  -61.00  -89.00        0.5612
  61   1  -59.00  -89.00        0.5612
  62   1  -57.00  -89.00        0.5612
  63   1  -55.00  -89.00        0.5612
  64   1  -53.00  -89.00        0.5612
  65   1  -51.00  -89.00        0.5612
  66   1  -49.00  -89.00        0.5612
  67   1  -47.00  -89.00        0.5612
  68   1  -45.00  -89.00        0.5612
  69   1  -43.00  -89.00        0.5612
  70   1  -41.00  -89.00        0.5612
  71   1  -39.00  -89.00        0.5612
  72   1  -37.00  -89.00        0.5612
  73   1  -35.00  -89.00        0.5612
  74   1  -33.00  -89.00        0.5612
  75   1  -31.00  -89.00        0.5612
  76   1  -29.00  -89.00        0.5612
  77   1  -27.00  -89.00        0.5612
  78   1  -25.00  -89.00        0.5612
  79   1  -23.00  -89.00        0.5612
  80   1  -21.00  -89.00        0.5612
  81   1  -19.00  -89.00        0.5612
  82   1  -17.00  -89.00        0.5612
  83   1  -15.00  -89.00        0.5612
  84   1  -13.00  -89.00        0.5612
  85   1  -11.00  -89.00        0.5612
  86   1   -9.00  -89.00        0.5612
  87   1   -7.00  -89.00        0.5612
  88   1   -5.00  -89.00        0.5612
  89   1   -3.00  -89.00        0.5612
  90   1   -1.00  -89.00        0.5612
  91   1    1.00  -89.00        0.5612
  92   1    3.00  -89.00        0.5612
  93   1    5.00  -89.00        0.5612
  94   1    7.00  -89.00        0.5612
  95   1    9.00  -89.00        0.5612
  96   1   11.00  -89.00        0.5612
  97   1   13.00  -89.00        0.5612
  98   1   15.00  -89.00        0.5612
  99   1   17.00  -89.00        0.5612
 100   1   19.00  -89.00        0.5612
 101   1   21.00  -89.00        0.5612
 102   1   23.00  -89.00        0.5612
 103   1   25.00  -89.00        0.5612
 104   1   27.00  -89.00        0.5612
 105   1   29.00  -89.00        0.5612
 106   1   31.00  -89.00        0.5612
 107   1   33.00  -89.00        0.5612
 108   1   35.00  -89.00        0.5612
 109   1   37.00  -89.00        0.5612
 110   1   39.00  -89.00        0.5612
 111   1   41.00  -89.00        0.5612
 112   1   43.00  -89.00        0.5612
 113   1   45.00  -89.00        0.5612
 114   1   47.00  -89.00        0.5612
 115   1   49.00  -89.00        0.5612
 116   1   51.00  -89.00        0.5612
 117   1   53.00  -89.00        0.5612
 118   1   55.00  -89.00        0.5612
 119   1   57.00  -89.00        0.5612
