    Jan-Mar_2022_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 161   1  141.00  -89.00        0.3809
 162   1  143.00  -89.00        0.3809
 163   1  145.00  -89.00        0.3809
 164   1  147.00  -89.00        0.3809
 165   1  149.00  -89.00        0.3809
 166   1  151.00  -89.00        0.3809
 167   1  153.00  -89.00        0.3809
 168   1  155.00  -89.00        0.3809
 169   1  157.00  -89.00        0.3809
 170   1  159.00  -89.00        0.3809
 171   1  161.00  -89.00        0.3809
 172   1  163.00  -89.00        0.3809
 173   1  165.00  -89.00        0.3809
 174   1  167.00  -89.00        0.3809
 175   1  169.00  -89.00        0.3809
 176   1  171.00  -89.00        0.3809
 177   1  173.00  -89.00        0.3809
 178   1  175.00  -89.00        0.3809
 179   1  177.00  -89.00        0.3809
 180   1  179.00  -89.00        0.3809
   1   2 -179.00  -87.00        0.3809
   2   2 -177.00  -87.00        0.3809
   3   2 -175.00  -87.00        0.3809
   4   2 -173.00  -87.00        0.3809
   5   2 -171.00  -87.00        0.3809
   6   2 -169.00  -87.00        0.3809
   7   2 -167.00  -87.00        0.3809
   8   2 -165.00  -87.00        0.3809
   9   2 -163.00  -87.00        0.3809
  10   2 -161.00  -87.00        0.3809
  11   2 -159.00  -87.00        0.3809
  12   2 -157.00  -87.00        0.3809
  13   2 -155.00  -87.00        0.3809
  14   2 -153.00  -87.00        0.3809
  15   2 -151.00  -87.00        0.3809
  16   2 -149.00  -87.00        0.3809
  17   2 -147.00  -87.00        0.3809
  18   2 -145.00  -87.00        0.3809
  19   2 -143.00  -87.00        0.3809
  20   2 -141.00  -87.00        0.3809
  21   2 -139.00  -87.00        0.3809
  22   2 -137.00  -87.00        0.3809
  23   2 -135.00  -87.00        0.3809
  24   2 -133.00  -87.00        0.3809
  25   2 -131.00  -87.00        0.3809
  26   2 -129.00  -87.00        0.3809
  27   2 -127.00  -87.00        0.3809
  28   2 -125.00  -87.00        0.3809
  29   2 -123.00  -87.00        0.3809
  30   2 -121.00  -87.00        0.3809
  31   2 -119.00  -87.00        0.3809
  32   2 -117.00  -87.00        0.3809
  33   2 -115.00  -87.00        0.3809
  34   2 -113.00  -87.00        0.3809
  35   2 -111.00  -87.00        0.3809
  36   2 -109.00  -87.00        0.3809
  37   2 -107.00  -87.00        0.3809
  38   2 -105.00  -87.00        0.3809
  39   2 -103.00  -87.00        0.3809
  40   2 -101.00  -87.00        0.3809
  41   2  -99.00  -87.00        0.3809
  42   2  -97.00  -87.00        0.3809
  43   2  -95.00  -87.00        0.3809
  44   2  -93.00  -87.00        0.3809
  45   2  -91.00  -87.00        0.3809
  46   2  -89.00  -87.00        0.3809
  47   2  -87.00  -87.00        0.3809
  48   2  -85.00  -87.00        0.3809
  49   2  -83.00  -87.00        0.3809
  50   2  -81.00  -87.00        0.3809
  51   2  -79.00  -87.00        0.3809
  52   2  -77.00  -87.00        0.3809
  53   2  -75.00  -87.00        0.3809
  54   2  -73.00  -87.00        0.3809
  55   2  -71.00  -87.00        0.3809
  56   2  -69.00  -87.00        0.3809
  57   2  -67.00  -87.00        0.3809
  58   2  -65.00  -87.00        0.3809
  59   2  -63.00  -87.00        0.3809
  60   2  -61.00  -87.00        0.3809
  61   2  -59.00  -87.00        0.3809
  62   2  -57.00  -87.00        0.3809
  63   2  -55.00  -87.00        0.3809
  64   2  -53.00  -87.00        0.3809
  65   2  -51.00  -87.00        0.3809
  66   2  -49.00  -87.00        0.3809
  67   2  -47.00  -87.00        0.3809
  68   2  -45.00  -87.00        0.3809
  69   2  -43.00  -87.00        0.3809
  70   2  -41.00  -87.00        0.3809
  71   2  -39.00  -87.00        0.3809
  72   2  -37.00  -87.00        0.3809
  73   2  -35.00  -87.00        0.3809
  74   2  -33.00  -87.00        0.3809
  75   2  -31.00  -87.00        0.3809
  76   2  -29.00  -87.00        0.3809
  77   2  -27.00  -87.00        0.3809
  78   2  -25.00  -87.00        0.3809
  79   2  -23.00  -87.00        0.3809
  80   2  -21.00  -87.00        0.3809
  81   2  -19.00  -87.00        0.3809
  82   2  -17.00  -87.00        0.3809
  83   2  -15.00  -87.00        0.3809
  84   2  -13.00  -87.00        0.3809
  85   2  -11.00  -87.00        0.3809
  86   2   -9.00  -87.00        0.3809
  87   2   -7.00  -87.00        0.3809
  88   2   -5.00  -87.00        0.3809
  89   2   -3.00  -87.00        0.3809
  90   2   -1.00  -87.00        0.3809
  91   2    1.00  -87.00        0.3809
  92   2    3.00  -87.00        0.3809
  93   2    5.00  -87.00        0.3809
  94   2    7.00  -87.00        0.3809
  95   2    9.00  -87.00        0.3809
  96   2   11.00  -87.00        0.3809
  97   2   13.00  -87.00        0.3809
  98   2   15.00  -87.00        0.3809
  99   2   17.00  -87.00        0.3809
 100   2   19.00  -87.00        0.3809
 101   2   21.00  -87.00        0.3809
 102   2   23.00  -87.00        0.3809
 103   2   25.00  -87.00        0.3809
 104   2   27.00  -87.00        0.3809
 105   2   29.00  -87.00        0.3809
 106   2   31.00  -87.00        0.3809
 107   2   33.00  -87.00        0.3809
 108   2   35.00  -87.00        0.3809
 109   2   37.00  -87.00        0.3809
 110   2   39.00  -87.00        0.3809
 111   2   41.00  -87.00        0.3809
 112   2   43.00  -87.00        0.3809
 113   2   45.00  -87.00        0.3809
 114   2   47.00  -87.00        0.3809
 115   2   49.00  -87.00        0.3809
 116   2   51.00  -87.00        0.3809
 117   2   53.00  -87.00        0.3809
