_Annual_J-D_2016_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.0433
   2   1 -177.00  -89.00        0.0433
   3   1 -175.00  -89.00        0.0433
   4   1 -173.00  -89.00        0.0433
   5   1 -171.00  -89.00        0.0433
   6   1 -169.00  -89.00        0.0433
   7   1 -167.00  -89.00        0.0433
   8   1 -165.00  -89.00        0.0433
   9   1 -163.00  -89.00        0.0433
  10   1 -161.00  -89.00        0.0433
  11   1 -159.00  -89.00        0.0433
  12   1 -157.00  -89.00        0.0433
  13   1 -155.00  -89.00        0.0433
  14   1 -153.00  -89.00        0.0433
  15   1 -151.00  -89.00        0.0433
  16   1 -149.00  -89.00        0.0433
  17   1 -147.00  -89.00        0.0433
  18   1 -145.00  -89.00        0.0433
  19   1 -143.00  -89.00        0.0433
  20   1 -141.00  -89.00        0.0433
  21   1 -139.00  -89.00        0.0433
  22   1 -137.00  -89.00        0.0433
  23   1 -135.00  -89.00        0.0433
  24   1 -133.00  -89.00        0.0433
  25   1 -131.00  -89.00        0.0433
  26   1 -129.00  -89.00        0.0433
  27   1 -127.00  -89.00        0.0433
  28   1 -125.00  -89.00        0.0433
  29   1 -123.00  -89.00        0.0433
  30   1 -121.00  -89.00        0.0433
  31   1 -119.00  -89.00        0.0433
  32   1 -117.00  -89.00        0.0433
  33   1 -115.00  -89.00        0.0433
  34   1 -113.00  -89.00        0.0433
  35   1 -111.00  -89.00        0.0433
  36   1 -109.00  -89.00        0.0433
  37   1 -107.00  -89.00        0.0433
  38   1 -105.00  -89.00        0.0433
  39   1 -103.00  -89.00        0.0433
  40   1 -101.00  -89.00        0.0433
  41   1  -99.00  -89.00        0.0433
  42   1  -97.00  -89.00        0.0433
  43   1  -95.00  -89.00        0.0433
  44   1  -93.00  -89.00        0.0433
  45   1  -91.00  -89.00        0.0433
  46   1  -89.00  -89.00        0.0433
  47   1  -87.00  -89.00        0.0433
  48   1  -85.00  -89.00        0.0433
  49   1  -83.00  -89.00        0.0433
  50   1  -81.00  -89.00        0.0433
  51   1  -79.00  -89.00        0.0433
  52   1  -77.00  -89.00        0.0433
  53   1  -75.00  -89.00        0.0433
  54   1  -73.00  -89.00        0.0433
  55   1  -71.00  -89.00        0.0433
  56   1  -69.00  -89.00        0.0433
  57   1  -67.00  -89.00        0.0433
  58   1  -65.00  -89.00        0.0433
  59   1  -63.00  -89.00        0.0433
  60   1  -61.00  -89.00        0.0433
  61   1  -59.00  -89.00        0.0433
  62   1  -57.00  -89.00        0.0433
  63   1  -55.00  -89.00        0.0433
  64   1  -53.00  -89.00        0.0433
  65   1  -51.00  -89.00        0.0433
  66   1  -49.00  -89.00        0.0433
  67   1  -47.00  -89.00        0.0433
  68   1  -45.00  -89.00        0.0433
  69   1  -43.00  -89.00        0.0433
  70   1  -41.00  -89.00        0.0433
  71   1  -39.00  -89.00        0.0433
  72   1  -37.00  -89.00        0.0433
  73   1  -35.00  -89.00        0.0433
  74   1  -33.00  -89.00        0.0433
  75   1  -31.00  -89.00        0.0433
  76   1  -29.00  -89.00        0.0433
  77   1  -27.00  -89.00        0.0433
  78   1  -25.00  -89.00        0.0433
  79   1  -23.00  -89.00        0.0433
  80   1  -21.00  -89.00        0.0433
  81   1  -19.00  -89.00        0.0433
  82   1  -17.00  -89.00        0.0433
  83   1  -15.00  -89.00        0.0433
  84   1  -13.00  -89.00        0.0433
  85   1  -11.00  -89.00        0.0433
  86   1   -9.00  -89.00        0.0433
  87   1   -7.00  -89.00        0.0433
  88   1   -5.00  -89.00        0.0433
  89   1   -3.00  -89.00        0.0433
  90   1   -1.00  -89.00        0.0433
  91   1    1.00  -89.00        0.0433
  92   1    3.00  -89.00        0.0433
  93   1    5.00  -89.00        0.0433
  94   1    7.00  -89.00        0.0433
  95   1    9.00  -89.00        0.0433
  96   1   11.00  -89.00        0.0433
  97   1   13.00  -89.00        0.0433
  98   1   15.00  -89.00        0.0433
  99   1   17.00  -89.00        0.0433
 100   1   19.00  -89.00        0.0433
 101   1   21.00  -89.00        0.0433
 102   1   23.00  -89.00        0.0433
 103   1   25.00  -89.00        0.0433
 104   1   27.00  -89.00        0.0433
 105   1   29.00  -89.00        0.0433
 106   1   31.00  -89.00        0.0433
 107   1   33.00  -89.00        0.0433
 108   1   35.00  -89.00        0.0433
 109   1   37.00  -89.00        0.0433
 110   1   39.00  -89.00        0.0433
 111   1   41.00  -89.00        0.0433
 112   1   43.00  -89.00        0.0433
 113   1   45.00  -89.00        0.0433
 114   1   47.00  -89.00        0.0433
 115   1   49.00  -89.00        0.0433
 116   1   51.00  -89.00        0.0433
 117   1   53.00  -89.00        0.0433
 118   1   55.00  -89.00        0.0433
 119   1   57.00  -89.00        0.0433
 120   1   59.00  -89.00        0.0433
 121   1   61.00  -89.00        0.0433
 122   1   63.00  -89.00        0.0433
 123   1   65.00  -89.00        0.0433
 124   1   67.00  -89.00        0.0433
 125   1   69.00  -89.00        0.0433
 126   1   71.00  -89.00        0.0433
 127   1   73.00  -89.00        0.0433
 128   1   75.00  -89.00        0.0433
 129   1   77.00  -89.00        0.0433
 130   1   79.00  -89.00        0.0433
 131   1   81.00  -89.00        0.0433
 132   1   83.00  -89.00        0.0433
 133   1   85.00  -89.00        0.0433
 134   1   87.00  -89.00        0.0433
 135   1   89.00  -89.00        0.0433
 136   1   91.00  -89.00        0.0433
 137   1   93.00  -89.00        0.0433
 138   1   95.00  -89.00        0.0433
 139   1   97.00  -89.00        0.0433
 140   1   99.00  -89.00        0.0433
 141   1  101.00  -89.00        0.0433
 142   1  103.00  -89.00        0.0433
 143   1  105.00  -89.00        0.0433
 144   1  107.00  -89.00        0.0433
 145   1  109.00  -89.00        0.0433
 146   1  111.00  -89.00        0.0433
 147   1  113.00  -89.00        0.0433
 148   1  115.00  -89.00        0.0433
 149   1  117.00  -89.00        0.0433
 150   1  119.00  -89.00        0.0433
 151   1  121.00  -89.00        0.0433
 152   1  123.00  -89.00        0.0433
 153   1  125.00  -89.00        0.0433
 154   1  127.00  -89.00        0.0433
 155   1  129.00  -89.00        0.0433
 156   1  131.00  -89.00        0.0433
 157   1  133.00  -89.00        0.0433
 158   1  135.00  -89.00        0.0433
 159   1  137.00  -89.00        0.0433
 160   1  139.00  -89.00        0.0433
 161   1  141.00  -89.00        0.0433
 162   1  143.00  -89.00        0.0433
